hour,price
1,23.07
2,22.968387
3,24.617429
4,24.617429
5,27.050323
6,22.51634
7,22.492903
8,23.657742
9,21.843871
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,18.861
18,33.195667
19,36.471162
20,35.450056
21,34.356684
22,33.195667
23,30.66274
24,19.689677
25,23.07
26,22.968387
27,24.617429
28,24.617429
29,27.050323
30,22.51634
31,22.492903
32,23.657742
33,21.843871
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,18.861
42,33.195667
43,36.471162
44,35.450056
45,34.356684
46,33.195667
47,30.66274
48,19.689677
49,19.034194
50,30.944305
51,30.66274
52,30.944305
53,26.347564
54,30.66274
55,34.963693
56,51.405328
57,33.195667
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,19.429677
66,37.505403
67,36.123987
68,33.752674
69,26.790747
70,23.129011
71,23.657742
72,23.206645
73,40.268559
74,27.274839
75,27.274839
76,27.274839
77,27.050323
78,27.050323
79,30.530146
80,36.123987
81,26.324188
82,21.116774
83,18.861
84,18.072549
85,0
86,0
87,0
88,0
89,0
90,28.05809
91,36.488724
92,37.505403
93,40.021092
94,35.74063
95,33.195667
96,10000
97,37.69873
98,33.195667
99,32.370127
100,32.370127
101,31.124264
102,22.03873
103,31.124264
104,32.370127
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,18.573548
114,25.908442
115,33.854699
116,35.786826
117,32.684578
118,27.634329
119,31.056126
120,19.983571
121,16.970779
122,32.009939
123,30.234117
124,30.234117
125,32.009939
126,34.808318
127,11286.55711
128,11286.55711
129,32.009939
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,34.963693
139,10000
140,10000
141,51.405328
142,36.471162
143,33.684891
144,17.27253
145,9.699473
146,26.124211
147,0
148,0.002826
149,16.697515
150,23.549868
151,34.317404
152,37.69873
153,31.09602
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,34.808318
163,10000
164,43.341184
165,11286.55711
166,10000
167,34.963693
168,24.553474
169,16.545583
170,20.200662
171,0
172,0
173,29.597042
174,23.657742
175,43.341184
176,51.405328
177,16.697515
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,34.963693
187,40.021092
188,47.176334
189,43.341184
190,43.341184
191,37.505403
192,20.631555
193,20.592672
194,16.545583
195,0
196,0
197,16.545583
198,17.27253
199,20.832071
200,37.505403
201,20.631555
202,0
203,0
204,0
205,0
206,19.034194
207,19.034194
208,19.429677
209,20.846104
210,26.755844
211,36.123987
212,23.657742
213,36.471162
214,21.647286
215,20.419032
216,21.116774
217,31.09602
218,30.944305
219,29.597042
220,22.032668
221,19.983571
222,32.009939
223,33.684891
224,35.450056
225,31.124264
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,14.191503
234,33.195667
235,37.505403
236,35.74063
237,35.165347
238,34.808318
239,30.66274
240,19.689677
241,20.4
242,28.05809
243,19.689677
244,19.429677
245,26.347564
246,32.370127
247,24.617429
248,33.035161
249,27.274839
250,26.324188
251,25.908442
252,33.035161
253,25.908442
254,19.689677
255,18.573548
256,18.573548
257,21.843871
258,25.908442
259,33.752674
260,26.324188
261,32.009939
262,40.021092
263,40.021092
264,33.195667
265,34.317404
266,30.944305
267,30.234117
268,28.670228
269,0
270,26.347564
271,29.597042
272,30.944305
273,18.861
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,23.657742
283,10000
284,10000
285,10000
286,10000
287,10000
288,36.123987
289,33.035161
290,23.657742
291,30.944305
292,19.034194
293,22.032668
294,19.689677
295,23.07
296,33.752674
297,10000
298,22.492903
299,19.689677
300,18.861
301,18.072549
302,0
303,14.191503
304,0
305,18.861
306,23.657742
307,10000
308,10000
309,43.341184
310,35.74063
311,40.021092
312,34.317404
313,30.944305
314,31.124264
315,29.597042
316,28.670228
317,29.597042
318,30.944305
319,34.808318
320,10000
321,33.195667
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,18.861
331,31.727391
332,31.727391
333,27.274839
334,25.908442
335,24.617429
336,23.206645
337,21.288312
338,30.944305
339,30.944305
340,19.983571
341,21.116774
342,35.74063
343,35.450056
344,37.505403
345,34.317404
346,0
347,0
348,18.861
349,19.429677
350,19.429677
351,18.573548
352,20.846104
353,22.51634
354,23.657742
355,30.530146
356,31.727391
357,30.277597
358,27.050323
359,25.908442
360,23.129011
361,23.129011
362,27.050323
363,25.908442
