,Total Wind Generation [MW],Total Power Output [MW],Wind Power Output [MW],Wind Power to Battery [MW],State of Charge [MWh],Battery Power Output [MW],Wind Power to PEM [MW],PEM H2 Output [kg],Tank H2 Input [kg],H2 Sales [kg],"Turbine H2 Input [kg]""",Tank Holdup [kg],Turbine Power Output [MW]
0,786.4730000000001,782.7,782.7,0.0,0.0,0.0,3.773,68.6585004336,68.6585004336,68.6585004336,0.0,0.0,0.0
1,772.573,768.8000000000001,768.8000000000001,0.0,0.0,0.0,3.773,68.6585004336,68.6585004336,68.6585004336,0.0,0.0,0.0
2,769.9730000000001,766.2,766.2,0.0,0.0,0.0,3.773,68.6585004336,68.6585004336,68.6585004336,0.0,0.0,0.0
3,737.173,733.4,733.4,0.0,0.0,0.0,3.773,68.6585004336,68.6585004336,68.1585004336,0.0,0.5,0.0
4,769.273,765.5,765.5,0.0,0.0,0.0,3.773,68.6585004336,68.6585004336,69.15850043360001,0.0,0.0,0.0
5,779.573,775.8000000000001,775.8000000000001,0.0,0.0,0.0,3.773,68.6585004336,68.6585004336,68.1585004336,0.0,0.5,0.0
6,772.573,768.8000000000001,768.8000000000001,0.0,0.0,0.0,3.773,68.6585004336,68.6585004336,68.6585004336,0.0,0.5,0.0
7,865.4109501385042,785.3000000000001,785.3000000000001,76.33795013850417,72.52105263157897,0.0,3.773,68.6585004336,68.6585004336,69.15850043360001,0.0,0.0,0.0
8,772.4730000000001,768.7,768.7,0.0,72.52105263157897,0.0,3.773,68.6585004336,68.6585004336,68.1585004336,0.0,0.5,0.0
9,733.273,729.5,729.5,0.0,72.52105263157897,0.0,3.773,68.6585004336,68.6585004336,68.6585004336,0.0,0.5,0.0
10,662.273,658.5,658.5,0.0,72.52105263157897,0.0,3.773,68.6585004336,68.6585004336,69.15850043360001,0.0,0.0,0.0
11,499.173,495.40000000000003,495.40000000000003,0.0,72.52105263157897,0.0,3.773,68.6585004336,68.6585004336,68.6585004336,0.0,0.0,0.0
12,274.673,270.9,270.9,0.0,72.52105263157897,0.0,3.773,68.6585004336,68.6585004336,68.1585004336,0.0,0.5,0.0
13,53.2,53.2,53.2,0.0,72.52105263157897,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14,47.1,47.1,47.1,0.0,72.52105263157897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,94.7,94.7,94.7,0.0,72.52105263157897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,154.273,150.5,150.5,0.0,72.52105263157897,0.0,3.773,68.6585004336,68.6585004336,68.6585004336,0.0,0.0,0.0
