,Total Wind Generation [MW],Total Power Output [MW],Wind Power Output [MW],Wind Power to Battery [MW],State of Charge [MWh],Battery Power Output [MW],Wind Power to PEM [MW],PEM H2 Output [kg],Tank H2 Input [kg],H2 Sales [kg],"Turbine H2 Input [kg]""",Tank Holdup [kg],Turbine Power Output [MW]
0,786.1672940110826,782.7,782.7,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,121239.30818294805,0.0
1,772.2672940110826,768.8000000000001,768.8000000000001,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,121302.40365269715,0.0
2,769.6672940110826,766.2,766.2,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,121365.49912244624,0.0
3,736.8672940110827,733.4,733.4,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,121428.59459219534,0.0
4,768.9672940110827,765.5,765.5,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,121491.69006194442,0.0
5,779.2672940110826,775.8000000000001,775.8000000000001,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,121554.78553169352,0.0
6,772.2672940110826,768.8000000000001,768.8000000000001,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,121617.88100144261,0.0
7,788.7672940110826,785.3000000000001,785.3000000000001,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,121680.97647119171,0.0
8,772.1672940110826,768.7,768.7,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,121744.07194094079,0.0
9,732.9672940110827,729.5,729.5,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,121807.16741068989,0.0
10,661.9672940110827,658.5,658.5,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,121870.26288043898,0.0
11,498.86729401108255,495.40000000000003,495.40000000000003,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,121933.35835018808,0.0
12,274.36729401108255,270.9,270.9,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,121996.45381993717,0.0
13,53.2,53.2,53.2,0.0,665.4546892181046,0.0,-0.0,0.0,-0.0,0.0,0.0,121996.45381993717,0.0
14,47.1,47.1,47.1,0.0,665.4546892181046,0.0,-0.0,0.0,-0.0,0.0,0.0,121996.45381993717,0.0
15,94.7,94.7,94.7,0.0,665.4546892181046,0.0,-0.0,0.0,-0.0,0.0,0.0,121996.45381993717,0.0
16,153.96729401108257,150.5,150.5,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,122059.54928968626,0.0
17,118.66729401108257,115.2,115.2,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,122122.64475943535,0.0
18,113.06729401108258,109.60000000000001,109.60000000000001,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,122185.74022918445,0.0
19,217.36729401108255,213.9,213.9,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,122248.83569893354,0.0
20,290.7672940110826,287.3,287.3,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,122311.93116868264,0.0
21,389.36729401108255,385.90000000000003,385.90000000000003,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,122375.02663843172,0.0
22,279.06729401108254,275.6,275.6,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,122438.12210818082,0.0
23,399.0672940110826,395.6,395.6,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,122501.21757792991,0.0
24,497.7672940110826,494.3,494.3,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,122564.31304767901,0.0
25,283.66729401108256,280.2,280.2,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,122627.4085174281,0.0
26,237.86729401108255,234.4,234.4,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,122690.50398717719,0.0
27,179.66729401108256,176.20000000000002,176.20000000000002,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,122753.59945692628,0.0
28,277.4672940110826,274.0,274.0,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,122816.69492667538,0.0
29,537.5672940110826,534.1,534.1,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,122879.79039642448,0.0
30,636.6672940110826,633.2,633.2,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,122942.88586617357,0.0
31,586.3672940110827,582.9,582.9,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,123005.98133592265,0.0
32,656.4672940110827,653.0,653.0,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,123069.07680567175,0.0
33,715.1672940110826,711.7,711.7,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,123132.17227542085,0.0
34,741.2672940110826,737.8000000000001,737.8000000000001,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,123195.26774516994,0.0
35,630.3672940110827,626.9,626.9,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,123258.36321491902,0.0
36,3.467294011082569,0.0,0.0,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,123321.45868466812,0.0
37,449.5672940110826,446.1,446.1,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,123384.55415441722,0.0
38,594.6672940110826,591.2,591.2,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,123447.64962416631,0.0
39,613.2672940110826,609.8000000000001,609.8000000000001,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,123510.74509391541,0.0
40,573.8672940110827,570.4,570.4,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,123573.84056366449,0.0
41,612.9672940110827,609.5,609.5,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,123636.93603341359,0.0
42,713.3672940110827,709.9,709.9,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,123700.03150316268,0.0
43,712.7672940110826,709.3000000000001,709.3000000000001,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,123763.12697291178,0.0
44,706.3672940110827,702.9,702.9,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,123826.22244266087,0.0
45,728.0672940110826,724.6,724.6,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,123889.31791240996,0.0
46,749.1672940110826,745.7,745.7,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,123952.41338215905,0.0
47,698.5672940110826,695.1,695.1,0.0,665.4546892181046,0.0,3.467294011082569,63.09546974909388,63.09546974909388,0.0,0.0,124015.50885190815,0.0
