Date,Hour,Horizon [hr],Power Dispatch [MW],Power Output [MW],Power Underdelivered [MW],Power Overdelivered [MW]
2020-01-01,00:00:00,0,782.7,836.16,0.0,53.46
2020-01-01,01:00:00,0,768.8,819.57,0.0,50.77
2020-01-01,02:00:00,0,766.2,816.47,0.0,50.27
2020-01-01,03:00:00,0,733.4,777.32,0.0,43.92
2020-01-01,04:00:00,0,765.5,815.63,0.0,50.13
2020-01-01,05:00:00,0,775.8,827.93,0.0,52.13
2020-01-01,06:00:00,0,768.8,819.57,0.0,50.77
2020-01-01,07:00:00,0,785.3,891.43,0.0,106.13
2020-01-01,08:00:00,0,768.7,911.67,0.0,142.97
2020-01-01,09:00:00,0,729.5,866.89,0.0,137.39
2020-01-01,10:00:00,0,658.5,782.24,0.0,123.74
2020-01-01,11:00:00,0,495.4,587.56,0.0,92.16
2020-01-01,12:00:00,0,270.9,319.59,0.0,48.69
2020-01-01,13:00:00,0,53.2,59.73,0.0,6.53
2020-01-01,14:00:00,0,47.1,52.45,0.0,5.35
2020-01-01,15:00:00,0,94.7,109.27,0.0,14.57
2020-01-01,16:00:00,0,150.5,175.87,0.0,25.37
2020-01-01,17:00:00,0,115.2,133.73,0.0,18.53
2020-01-01,18:00:00,0,109.6,127.05,0.0,17.45
2020-01-01,19:00:00,0,213.9,251.55,0.0,37.65
2020-01-01,20:00:00,0,287.3,339.16,0.0,51.86
2020-01-01,21:00:00,0,385.9,456.85,0.0,70.95
2020-01-01,22:00:00,0,275.6,325.2,0.0,49.6
2020-01-01,23:00:00,0,395.6,468.43,0.0,72.83
2020-01-02,00:00:00,0,494.3,586.25,0.0,91.95
2020-01-02,01:00:00,0,280.2,330.69,0.0,50.49
2020-01-02,02:00:00,0,234.4,276.02,0.0,41.62
2020-01-02,03:00:00,0,176.2,206.55,0.0,30.35
2020-01-02,04:00:00,0,274.0,323.29,0.0,49.29
2020-01-02,05:00:00,0,534.1,633.75,0.0,99.65
2020-01-02,06:00:00,0,633.2,752.04,0.0,118.84
2020-01-02,07:00:00,0,582.9,692.0,0.0,109.1
2020-01-02,08:00:00,0,653.0,775.68,0.0,122.68
2020-01-02,09:00:00,0,711.7,845.74,0.0,134.04
2020-01-02,10:00:00,0,737.8,876.9,0.0,139.1
2020-01-02,11:00:00,0,626.9,744.52,0.0,117.62
2020-01-02,12:00:00,0,0.0,619.79,0.0,619.79
2020-01-02,13:00:00,0,446.1,528.71,0.0,82.61
2020-01-02,14:00:00,0,591.2,701.91,0.0,110.71
2020-01-02,15:00:00,0,609.8,724.11,0.0,114.31
2020-01-02,16:00:00,0,570.4,677.08,0.0,106.68
2020-01-02,17:00:00,0,609.5,723.75,0.0,114.25
2020-01-02,18:00:00,0,709.9,843.6,0.0,133.7
2020-01-02,19:00:00,0,709.3,842.88,0.0,133.58
2020-01-02,20:00:00,0,702.9,835.24,0.0,132.34
2020-01-02,21:00:00,0,724.6,861.14,0.0,136.54
2020-01-02,22:00:00,0,745.7,886.33,0.0,140.63
2020-01-02,23:00:00,0,695.1,825.93,0.0,130.83
2020-01-03,00:00:00,0,700.8,832.73,0.0,131.93
