Generator,Date,Hour,Horizon [hr],Total Wind Generation [MW],Total Power Output [MW],Wind Power Output [MW],Wind Curtailment [MW],Battery Power Output [MW],Wind Power to Battery [MW],State of Charge [MWh],Wind Power to PEM [MW],PEM H2 Output [kg],Tank H2 Input [kg],H2 Sales [kg],Turbine H2 Input [kg],Tank Holdup [kg],Turbine Power Output [MW],Total Cost [$]
317_WIND,2020-01-01,00:00:00,0,934.266,827.702,827.702,0.0,0.0,103.097,763.397,3.467,63.095,63.095,0.0,0.0,121239.308,0.0,5881.978
317_WIND,2020-01-01,01:00:00,0,917.675,811.111,811.111,0.0,0.0,103.097,861.339,3.467,63.095,63.095,0.0,0.0,121302.404,0.0,5882.59
317_WIND,2020-01-01,02:00:00,0,914.571,813.162,813.162,0.0,0.0,97.942,954.384,3.467,63.095,63.095,0.0,0.0,121365.499,0.0,5883.202
317_WIND,2020-01-01,03:00:00,0,875.42,867.055,867.055,0.0,0.0,4.897,959.036,3.467,63.095,63.095,0.0,0.0,121428.595,0.0,5883.814
317_WIND,2020-01-01,04:00:00,0,913.736,910.024,910.024,0.0,0.0,0.245,959.269,3.467,63.095,63.095,0.0,0.0,121491.69,0.0,5884.427
317_WIND,2020-01-01,05:00:00,0,926.03,922.551,922.551,0.0,0.0,0.012,959.28,3.467,63.095,63.095,0.0,0.0,121554.785,0.0,5885.039
317_WIND,2020-01-01,06:00:00,0,917.675,914.207,914.207,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,121617.881,0.0,5885.651
317_WIND,2020-01-01,07:00:00,0,937.37,933.903,933.903,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,121680.976,0.0,5886.263
317_WIND,2020-01-01,08:00:00,0,917.555,914.088,914.088,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,121744.072,0.0,5886.876
317_WIND,2020-01-01,09:00:00,0,870.764,867.297,867.297,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,121807.167,0.0,5887.488
317_WIND,2020-01-01,10:00:00,0,786.016,782.548,782.548,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,121870.263,0.0,5888.1
317_WIND,2020-01-01,11:00:00,0,591.332,587.865,587.865,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,121933.358,0.0,5888.712
317_WIND,2020-01-01,12:00:00,0,323.359,319.891,319.891,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,121996.454,0.0,5889.325
317_WIND,2020-01-01,13:00:00,0,63.502,60.035,60.035,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,122059.549,0.0,5889.937
317_WIND,2020-01-01,14:00:00,0,56.221,52.753,52.753,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,122122.645,0.0,5890.549
317_WIND,2020-01-01,15:00:00,0,113.038,109.571,109.571,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,122185.74,0.0,5891.161
317_WIND,2020-01-01,16:00:00,0,179.644,176.176,176.176,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,122248.836,0.0,5891.773
317_WIND,2020-01-01,17:00:00,0,137.508,134.041,134.041,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,122311.931,0.0,5892.386
317_WIND,2020-01-01,18:00:00,0,130.824,127.356,127.356,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,122375.026,0.0,5892.998
317_WIND,2020-01-01,19:00:00,0,255.321,251.854,251.854,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,122438.122,0.0,5893.61
317_WIND,2020-01-01,20:00:00,0,342.934,339.467,339.467,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,122501.217,0.0,5894.222
317_WIND,2020-01-01,21:00:00,0,460.628,457.161,457.161,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,122564.313,0.0,5894.835
317_WIND,2020-01-01,22:00:00,0,328.969,325.501,325.501,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,122627.408,0.0,5895.447
317_WIND,2020-01-01,23:00:00,0,472.206,468.739,468.739,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,122690.504,0.0,5896.059
317_WIND,2020-01-02,00:00:00,0,590.019,586.552,586.552,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,122753.599,0.0,5896.671
317_WIND,2020-01-02,01:00:00,0,334.46,330.992,330.992,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,122816.695,0.0,5897.283
317_WIND,2020-01-02,02:00:00,0,279.791,276.323,276.323,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,122879.79,0.0,5897.896
317_WIND,2020-01-02,03:00:00,0,210.32,206.853,206.853,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,122942.886,0.0,5898.508
317_WIND,2020-01-02,04:00:00,0,327.059,323.592,323.592,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,123005.981,0.0,5899.12
317_WIND,2020-01-02,05:00:00,0,637.526,634.059,634.059,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,123069.077,0.0,5899.732
317_WIND,2020-01-02,06:00:00,0,755.816,752.349,752.349,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,123132.172,0.0,5900.345
317_WIND,2020-01-02,07:00:00,0,695.776,692.309,692.309,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,123195.267,0.0,5900.957
317_WIND,2020-01-02,08:00:00,0,779.451,775.983,775.983,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,123258.363,0.0,5901.569
317_WIND,2020-01-02,09:00:00,0,849.518,846.05,846.05,0.0,0.0,0.0,959.28,3.467,63.095,63.095,0.0,0.0,123321.458,0.0,5902.181
