Generator,Date,Hour,Horizon [hr],Total Wind Generation [MW],Total Power Output [MW],Wind Power Output [MW],Wind Curtailment [MW],Battery Power Output [MW],Wind Power to Battery [MW],State of Charge [MWh],Wind Power to PEM [MW],PEM H2 Output [kg],Tank H2 Input [kg],H2 Sales [kg],Turbine H2 Input [kg],Tank Holdup [kg],Turbine Power Output [MW],Total Cost [$]
317_WIND,2020-01-01,00:00:00,0,934.266,836.135,836.135,0.0,0.0,94.348,89.631,3.782,68.826,68.826,0.0,0.0,68.826,0.0,4708.365
317_WIND,2020-01-01,01:00:00,0,917.674,819.544,819.544,0.0,0.0,94.348,179.262,3.782,68.826,68.826,0.0,0.0,137.653,0.0,4709.033
317_WIND,2020-01-01,02:00:00,0,914.571,816.44,816.44,0.0,0.0,94.348,268.893,3.782,68.826,68.826,0.0,0.0,206.479,0.0,4709.701
317_WIND,2020-01-01,03:00:00,0,875.419,777.289,777.289,0.0,0.0,94.348,358.524,3.782,68.826,68.826,0.0,0.0,275.305,0.0,4710.369
317_WIND,2020-01-01,04:00:00,0,913.735,815.605,815.605,0.0,0.0,94.348,448.155,3.782,68.826,68.826,0.0,0.0,344.131,0.0,4711.037
317_WIND,2020-01-01,05:00:00,0,926.03,827.899,827.899,0.0,0.0,94.348,537.786,3.782,68.826,68.826,0.0,0.0,412.958,0.0,4711.704
317_WIND,2020-01-01,06:00:00,0,917.674,819.544,819.544,0.0,0.0,94.348,627.416,3.782,68.826,68.826,0.0,0.0,481.784,0.0,4712.372
317_WIND,2020-01-01,07:00:00,0,937.369,839.239,839.239,0.0,0.0,94.348,717.047,3.782,68.826,68.826,0.0,0.0,550.61,0.0,4713.04
317_WIND,2020-01-01,08:00:00,0,917.555,819.424,819.424,0.0,0.0,94.348,806.678,3.782,68.826,68.826,0.0,0.0,619.437,0.0,4713.708
317_WIND,2020-01-01,09:00:00,0,870.764,775.035,775.035,0.0,0.0,91.947,894.028,3.782,68.826,68.826,0.0,0.0,688.263,0.0,4714.376
317_WIND,2020-01-01,10:00:00,0,786.015,777.636,777.636,0.0,0.0,4.597,898.395,3.782,68.826,68.826,0.0,0.0,757.089,0.0,4715.044
317_WIND,2020-01-01,11:00:00,0,591.332,587.32,587.32,0.0,0.0,0.23,898.613,3.782,68.826,68.826,0.0,0.0,825.915,0.0,4715.711
317_WIND,2020-01-01,12:00:00,0,323.358,319.565,319.565,0.0,0.0,0.011,898.624,3.782,68.826,68.826,0.0,0.0,894.742,0.0,4716.379
317_WIND,2020-01-01,13:00:00,0,63.502,59.72,59.72,0.0,0.0,0.0,898.624,3.782,68.826,68.826,0.0,0.0,963.568,0.0,4717.047
317_WIND,2020-01-01,14:00:00,0,56.221,52.438,52.438,0.0,0.0,0.0,898.624,3.782,68.826,68.826,0.0,0.0,1032.394,0.0,4717.715
317_WIND,2020-01-01,15:00:00,0,113.038,109.256,109.256,0.0,0.0,0.0,898.624,3.782,68.826,68.826,0.0,0.0,1101.22,0.0,4718.383
317_WIND,2020-01-01,16:00:00,0,179.644,175.861,175.861,0.0,0.0,0.0,898.624,3.782,68.826,68.826,0.0,0.0,1170.047,0.0,4719.051
317_WIND,2020-01-01,17:00:00,0,137.508,133.726,133.726,0.0,0.0,0.0,898.624,3.782,68.826,68.826,0.0,0.0,1238.873,0.0,4719.719
317_WIND,2020-01-01,18:00:00,0,130.823,127.041,127.041,0.0,0.0,0.0,898.624,3.782,68.826,68.826,0.0,0.0,1307.699,0.0,4720.386
317_WIND,2020-01-01,19:00:00,0,255.321,251.538,251.538,0.0,0.0,0.0,898.624,3.782,68.826,68.826,0.0,0.0,1376.526,0.0,4721.054
317_WIND,2020-01-01,20:00:00,0,342.934,339.152,339.152,0.0,0.0,0.0,898.624,3.782,68.826,68.826,0.0,0.0,1445.352,0.0,4721.722
317_WIND,2020-01-01,21:00:00,0,460.628,456.845,456.845,0.0,0.0,0.0,898.624,3.782,68.826,68.826,0.0,0.0,1514.178,0.0,4722.39
317_WIND,2020-01-01,22:00:00,0,328.969,325.186,325.186,0.0,0.0,0.0,898.624,3.782,68.826,68.826,0.0,0.0,1583.004,0.0,4723.058
317_WIND,2020-01-01,23:00:00,0,472.206,468.424,468.424,0.0,0.0,0.0,898.624,3.782,68.826,68.826,0.0,0.0,1651.831,0.0,4723.726
317_WIND,2020-01-02,00:00:00,0,590.019,586.236,586.236,0.0,0.0,0.0,898.624,3.782,68.826,68.826,0.0,0.0,1720.657,0.0,4724.393
317_WIND,2020-01-02,01:00:00,0,334.459,330.677,330.677,0.0,0.0,0.0,898.624,3.782,68.826,68.826,0.0,0.0,1789.483,0.0,4725.061
317_WIND,2020-01-02,02:00:00,0,279.79,276.008,276.008,0.0,0.0,0.0,898.624,3.782,68.826,68.826,0.0,0.0,1858.31,0.0,4725.729
317_WIND,2020-01-02,03:00:00,0,210.32,206.538,206.538,0.0,0.0,0.0,898.624,3.782,68.826,68.826,0.0,0.0,1927.136,0.0,4726.397
317_WIND,2020-01-02,04:00:00,0,327.059,323.276,323.276,0.0,0.0,0.0,898.624,3.782,68.826,68.826,0.0,0.0,1995.962,0.0,4727.065
317_WIND,2020-01-02,05:00:00,0,637.526,633.744,633.744,0.0,0.0,0.0,898.624,3.782,68.826,68.826,0.0,0.0,2064.788,0.0,4727.733
