Date,Hour,Horizon [hr],Power Dispatch [MW],Power Output [MW],Power Underdelivered [MW],Power Overdelivered [MW]
2020-01-01,00:00:00,0,782.7,836.14,0.0,53.44
2020-01-01,01:00:00,0,768.8,819.54,0.0,50.74
2020-01-01,02:00:00,0,766.2,816.44,0.0,50.24
2020-01-01,03:00:00,0,733.4,777.29,0.0,43.89
2020-01-01,04:00:00,0,765.5,815.6,0.0,50.1
2020-01-01,05:00:00,0,775.8,827.9,0.0,52.1
2020-01-01,06:00:00,0,768.8,819.54,0.0,50.74
2020-01-01,07:00:00,0,785.3,839.24,0.0,53.94
2020-01-01,08:00:00,0,768.7,819.42,0.0,50.72
2020-01-01,09:00:00,0,729.5,839.05,0.0,109.55
2020-01-01,10:00:00,0,658.5,780.84,0.0,122.34
2020-01-01,11:00:00,0,495.4,587.48,0.0,92.08
2020-01-01,12:00:00,0,270.9,319.57,0.0,48.67
2020-01-01,13:00:00,0,53.2,59.72,0.0,6.52
2020-01-01,14:00:00,0,47.1,52.44,0.0,5.34
2020-01-01,15:00:00,0,94.7,109.26,0.0,14.56
2020-01-01,16:00:00,0,150.5,175.86,0.0,25.36
2020-01-01,17:00:00,0,115.2,133.73,0.0,18.53
2020-01-01,18:00:00,0,109.6,127.04,0.0,17.44
2020-01-01,19:00:00,0,213.9,251.54,0.0,37.64
2020-01-01,20:00:00,0,287.3,339.15,0.0,51.85
2020-01-01,21:00:00,0,385.9,456.85,0.0,70.95
2020-01-01,22:00:00,0,275.6,325.19,0.0,49.59
2020-01-01,23:00:00,0,395.6,468.42,0.0,72.82
2020-01-02,00:00:00,0,494.3,586.24,0.0,91.94
2020-01-02,01:00:00,0,280.2,330.68,0.0,50.48
2020-01-02,02:00:00,0,234.4,276.01,0.0,41.61
2020-01-02,03:00:00,0,176.2,206.54,0.0,30.34
2020-01-02,04:00:00,0,274.0,323.28,0.0,49.28
2020-01-02,05:00:00,0,534.1,633.74,0.0,99.64
2020-01-02,06:00:00,0,633.2,752.03,0.0,118.83
2020-01-02,07:00:00,0,582.9,691.99,0.0,109.09
2020-01-02,08:00:00,0,653.0,775.67,0.0,122.67
2020-01-02,09:00:00,0,711.7,845.73,0.0,134.03
2020-01-02,10:00:00,0,737.8,876.89,0.0,139.09
2020-01-02,11:00:00,0,626.9,744.51,0.0,117.61
2020-01-02,12:00:00,0,0.0,619.78,0.0,619.78
2020-01-02,13:00:00,0,446.1,528.7,0.0,82.6
2020-01-02,14:00:00,0,591.2,701.9,0.0,110.7
2020-01-02,15:00:00,0,609.8,724.1,0.0,114.3
2020-01-02,16:00:00,0,570.4,677.07,0.0,106.67
2020-01-02,17:00:00,0,609.5,723.74,0.0,114.24
2020-01-02,18:00:00,0,709.9,843.59,0.0,133.69
2020-01-02,19:00:00,0,709.3,842.87,0.0,133.57
2020-01-02,20:00:00,0,702.9,835.23,0.0,132.33
2020-01-02,21:00:00,0,724.6,861.13,0.0,136.53
2020-01-02,22:00:00,0,745.7,886.32,0.0,140.62
2020-01-02,23:00:00,0,695.1,825.92,0.0,130.82
2020-01-03,00:00:00,0,700.8,832.72,0.0,131.92
2020-01-03,01:00:00,0,687.6,816.97,0.0,129.37
2020-01-03,02:00:00,0,603.8,716.94,0.0,113.14
2020-01-03,03:00:00,0,657.5,781.04,0.0,123.54
2020-01-03,04:00:00,0,595.5,707.03,0.0,111.53
2020-01-03,05:00:00,0,670.4,796.44,0.0,126.04
2020-01-03,06:00:00,0,545.8,647.71,0.0,101.91
2020-01-03,07:00:00,0,608.5,722.55,0.0,114.05
2020-01-03,08:00:00,0,518.0,614.53,0.0,96.53
2020-01-03,09:00:00,0,552.3,655.47,0.0,103.17
2020-01-03,10:00:00,0,525.3,623.24,0.0,97.94
2020-01-03,11:00:00,0,423.2,501.37,0.0,78.17
2020-01-03,12:00:00,0,289.2,341.42,0.0,52.22
2020-01-03,13:00:00,0,277.2,327.1,0.0,49.9
2020-01-03,14:00:00,0,277.0,326.86,0.0,49.86
2020-01-03,15:00:00,0,260.3,306.92,0.0,46.62
2020-01-03,16:00:00,0,409.5,485.02,0.0,75.52
2020-01-03,17:00:00,0,564.0,669.43,0.0,105.43
2020-01-03,18:00:00,0,581.0,689.73,0.0,108.73
2020-01-03,19:00:00,0,379.3,448.97,0.0,69.67
2020-01-03,20:00:00,0,355.5,420.56,0.0,65.06
2020-01-03,21:00:00,0,276.4,326.14,0.0,49.74
2020-01-03,22:00:00,0,31.4,33.7,0.0,2.3
2020-01-03,23:00:00,0,6.9,6.9,0.0,0.0
2020-01-04,00:00:00,0,5.3,5.3,0.0,0.0
2020-01-04,01:00:00,0,4.4,4.4,0.0,0.0
2020-01-04,02:00:00,0,6.2,6.2,0.0,0.0
2020-01-04,03:00:00,0,4.5,4.5,0.0,0.0
2020-01-04,04:00:00,0,6.6,6.6,-0.0,0.0
2020-01-04,05:00:00,0,6.1,6.1,-0.0,0.0
2020-01-04,06:00:00,0,7.3,7.3,0.0,0.0
2020-01-04,07:00:00,0,6.5,6.5,0.0,0.0
2020-01-04,08:00:00,0,4.3,4.3,0.0,0.0
2020-01-04,09:00:00,0,10.8,10.8,0.0,0.0
2020-01-04,10:00:00,0,189.5,222.41,0.0,32.91
2020-01-04,11:00:00,0,0.0,284.36,0.0,284.36
2020-01-04,12:00:00,0,0.0,693.19,0.0,693.19
2020-01-04,13:00:00,0,0.0,657.14,0.0,657.14
2020-01-04,14:00:00,0,0.0,709.18,0.0,709.18
2020-01-04,15:00:00,0,0.0,550.19,0.0,550.19
2020-01-04,16:00:00,0,478.2,567.02,0.0,88.82
2020-01-04,17:00:00,0,540.4,641.26,0.0,100.86
2020-01-04,18:00:00,0,392.9,465.2,0.0,72.3
2020-01-04,19:00:00,0,524.0,621.69,0.0,97.69
2020-01-04,20:00:00,0,742.5,882.5,0.0,140.0
2020-01-04,21:00:00,0,782.2,929.89,0.0,147.69
2020-01-04,22:00:00,0,778.2,925.11,0.0,146.91
2020-01-04,23:00:00,0,786.5,935.02,0.0,148.52
2020-01-05,00:00:00,0,783.3,931.2,0.0,147.9
2020-01-05,01:00:00,0,788.4,937.29,0.0,148.89
2020-01-05,02:00:00,0,785.1,933.35,0.0,148.25
2020-01-05,03:00:00,0,782.9,930.72,0.0,147.82
2020-01-05,04:00:00,0,782.2,929.89,0.0,147.69
2020-01-05,05:00:00,0,772.7,918.55,0.0,145.85
2020-01-05,06:00:00,0,787.6,936.33,0.0,148.73
2020-01-05,07:00:00,0,783.5,931.44,0.0,147.94
2020-01-05,08:00:00,0,693.11,932.75,0.0,239.64
2020-01-05,09:00:00,0,353.18,941.11,0.0,587.93
2020-01-05,10:00:00,0,0.0,933.47,0.0,933.47
2020-01-05,11:00:00,0,133.01,922.96,0.0,789.95
2020-01-05,12:00:00,0,0.0,924.52,0.0,924.52
2020-01-05,13:00:00,0,0.0,902.07,0.0,902.07
2020-01-05,14:00:00,0,742.6,882.62,0.0,140.02
2020-01-05,15:00:00,0,190.0,893.0,0.0,703.0
2020-01-05,16:00:00,0,49.27,916.52,0.0,867.25
2020-01-05,17:00:00,0,765.3,909.71,0.0,144.41
2020-01-05,18:00:00,0,766.8,911.5,0.0,144.7
2020-01-05,19:00:00,0,757.3,900.17,0.0,142.87
2020-01-05,20:00:00,0,780.9,928.34,0.0,147.44
2020-01-05,21:00:00,0,773.7,919.74,0.0,146.04
2020-01-05,22:00:00,0,0.0,831.41,0.0,831.41
2020-01-05,23:00:00,0,690.7,820.67,0.0,129.97
2020-01-06,00:00:00,0,607.2,721.0,0.0,113.8
2020-01-06,01:00:00,0,461.6,547.2,0.0,85.6
2020-01-06,02:00:00,0,655.6,778.77,0.0,123.17
2020-01-06,03:00:00,0,588.3,698.44,0.0,110.14
2020-01-06,04:00:00,0,569.5,676.0,0.0,106.5
2020-01-06,05:00:00,0,497.2,589.7,0.0,92.5
2020-01-06,06:00:00,0,574.1,681.49,0.0,107.39
2020-01-06,07:00:00,0,723.5,859.82,0.0,136.32
2020-01-06,08:00:00,0,752.2,894.08,0.0,141.88
2020-01-06,09:00:00,0,744.61,914.61,0.0,169.99
2020-01-06,10:00:00,0,503.84,885.84,0.0,382.0
2020-01-06,11:00:00,0,711.8,845.85,0.0,134.05
2020-01-06,12:00:00,0,648.8,770.65,0.0,121.85
2020-01-06,13:00:00,0,637.1,756.69,0.0,119.59
2020-01-06,14:00:00,0,374.65,826.64,0.0,451.99
2020-01-06,15:00:00,0,624.8,742.01,0.0,117.21
2020-01-06,16:00:00,0,667.8,793.33,0.0,125.53
2020-01-06,17:00:00,0,665.1,790.11,0.0,125.01
2020-01-06,18:00:00,0,619.4,735.56,0.0,116.16
2020-01-06,19:00:00,0,641.4,761.82,0.0,120.42
2020-01-06,20:00:00,0,686.3,815.42,0.0,129.12
2020-01-06,21:00:00,0,720.4,856.12,0.0,135.72
2020-01-06,22:00:00,0,771.5,917.11,0.0,145.61
2020-01-06,23:00:00,0,788.9,937.88,0.0,148.98
2020-01-07,00:00:00,0,781.4,928.93,0.0,147.53
2020-01-07,01:00:00,0,787.7,936.45,0.0,148.75
2020-01-07,02:00:00,0,789.2,938.24,0.0,149.04
2020-01-07,03:00:00,0,786.1,934.54,0.0,148.44
2020-01-07,04:00:00,0,785.5,933.83,0.0,148.33
2020-01-07,05:00:00,0,786.9,935.5,0.0,148.6
2020-01-07,06:00:00,0,786.0,934.42,0.0,148.42
2020-01-07,07:00:00,0,782.9,930.72,0.0,147.82
2020-01-07,08:00:00,0,791.0,940.39,0.0,149.39
2020-01-07,09:00:00,0,566.06,936.33,0.0,370.28
2020-01-07,10:00:00,0,759.4,902.67,0.0,143.27
2020-01-07,11:00:00,0,725.2,861.85,0.0,136.65
2020-01-07,12:00:00,0,750.3,891.81,0.0,141.51
2020-01-07,13:00:00,0,769.7,914.97,0.0,145.27
2020-01-07,14:00:00,0,767.9,912.82,0.0,144.92
2020-01-07,15:00:00,0,684.54,855.05,0.0,170.5
2020-01-07,16:00:00,0,669.2,795.0,0.0,125.8
2020-01-07,17:00:00,0,625.1,742.37,0.0,117.27
2020-01-07,18:00:00,0,668.2,793.81,0.0,125.61
2020-01-07,19:00:00,0,580.1,688.65,0.0,108.55
2020-01-07,20:00:00,0,490.7,581.94,0.0,91.24
2020-01-07,21:00:00,0,760.2,903.63,0.0,143.43
2020-01-07,22:00:00,0,746.9,887.75,0.0,140.85
2020-01-07,23:00:00,0,772.9,918.79,0.0,145.89
2020-01-08,00:00:00,0,677.79,939.2,0.0,261.41
2020-01-08,01:00:00,0,783.7,931.68,0.0,147.98
2020-01-08,02:00:00,0,741.4,919.38,0.0,177.98
2020-01-08,03:00:00,0,695.8,826.76,0.0,130.96
2020-01-08,04:00:00,0,579.0,687.34,0.0,108.34
2020-01-08,05:00:00,0,635.16,865.43,0.0,230.27
2020-01-08,06:00:00,0,627.93,934.66,0.0,306.73
2020-01-08,07:00:00,0,669.64,934.42,0.0,264.78
2020-01-08,08:00:00,0,790.1,939.32,0.0,149.22
2020-01-08,09:00:00,0,787.7,936.45,0.0,148.75
2020-01-08,10:00:00,0,677.39,933.95,0.0,256.56
