Generator,Date,Hour,Horizon [hr],Total Wind Generation [MW],Total Power Output [MW],Wind Power Output [MW],Wind Curtailment [MW],Battery Power Output [MW],Wind Power to Battery [MW],State of Charge [MWh],Wind Power to PEM [MW],PEM H2 Output [kg],Tank H2 Input [kg],H2 Sales [kg],Turbine H2 Input [kg],Tank Holdup [kg],Turbine Power Output [MW],Total Cost [$]
317_WIND,2020-01-01,00:00:00,0,934.266,836.135,836.135,0.0,0.0,94.348,153.647,3.782,68.826,68.826,0.0,0.0,96708.372,0.0,5646.078
317_WIND,2020-01-01,01:00:00,0,917.674,819.544,819.544,0.0,0.0,94.348,243.278,3.782,68.826,68.826,0.0,0.0,96777.198,0.0,5646.746
317_WIND,2020-01-01,02:00:00,0,914.571,816.44,816.44,0.0,0.0,94.348,332.909,3.782,68.826,68.826,0.0,0.0,96846.024,0.0,5647.413
317_WIND,2020-01-01,03:00:00,0,875.419,777.289,777.289,0.0,0.0,94.348,422.539,3.782,68.826,68.826,0.0,0.0,96914.851,0.0,5648.081
317_WIND,2020-01-01,04:00:00,0,913.735,815.605,815.605,0.0,0.0,94.348,512.17,3.782,68.826,68.826,0.0,0.0,96983.677,0.0,5648.749
317_WIND,2020-01-01,05:00:00,0,926.03,827.899,827.899,0.0,0.0,94.348,601.801,3.782,68.826,68.826,0.0,0.0,97052.503,0.0,5649.417
317_WIND,2020-01-01,06:00:00,0,917.674,819.544,819.544,0.0,0.0,94.348,691.432,3.782,68.826,68.826,0.0,0.0,97121.329,0.0,5650.085
317_WIND,2020-01-01,07:00:00,0,937.369,839.239,839.239,0.0,0.0,94.348,781.063,3.782,68.826,68.826,0.0,0.0,97190.156,0.0,5650.753
317_WIND,2020-01-01,08:00:00,0,917.555,819.424,819.424,0.0,0.0,94.348,870.694,3.782,68.826,68.826,0.0,0.0,97258.982,0.0,5651.42
317_WIND,2020-01-01,09:00:00,0,870.764,839.051,839.051,0.0,0.0,27.931,897.228,3.782,68.826,68.826,0.0,0.0,97327.808,0.0,5652.088
317_WIND,2020-01-01,10:00:00,0,786.015,780.836,780.836,0.0,0.0,1.397,898.555,3.782,68.826,68.826,0.0,0.0,97396.634,0.0,5652.756
317_WIND,2020-01-01,11:00:00,0,591.332,587.48,587.48,0.0,0.0,0.07,898.621,3.782,68.826,68.826,0.0,0.0,97465.461,0.0,5653.424
317_WIND,2020-01-01,12:00:00,0,323.358,319.573,319.573,0.0,0.0,0.003,898.625,3.782,68.826,68.826,0.0,0.0,97534.287,0.0,5654.092
