Generator,Date,Hour,Horizon [hr],Total Wind Generation [MW],Total Power Output [MW],Wind Power Output [MW],Wind Curtailment [MW],Battery Power Output [MW],Wind Power to Battery [MW],State of Charge [MWh],Wind Power to PEM [MW],PEM H2 Output [kg],Tank H2 Input [kg],H2 Sales [kg],Turbine H2 Input [kg],Tank Holdup [kg],Turbine Power Output [MW],Total Cost [$]
317_WIND,2020-01-01,00:00:00,0,934.266,827.702,827.702,0.0,0.0,103.097,699.381,3.467,63.095,63.095,0.0,0.0,116640.885,0.0,5837.358
317_WIND,2020-01-01,01:00:00,0,917.675,811.111,811.111,0.0,0.0,103.097,797.323,3.467,63.095,63.095,0.0,0.0,116703.98,0.0,5837.971
317_WIND,2020-01-01,02:00:00,0,914.571,813.162,813.162,0.0,0.0,97.942,890.368,3.467,63.095,63.095,0.0,0.0,116767.075,0.0,5838.583
317_WIND,2020-01-01,03:00:00,0,875.42,867.055,867.055,0.0,0.0,4.897,895.02,3.467,63.095,63.095,0.0,0.0,116830.171,0.0,5839.195
317_WIND,2020-01-01,04:00:00,0,913.736,910.024,910.024,0.0,0.0,0.245,895.253,3.467,63.095,63.095,0.0,0.0,116893.266,0.0,5839.807
317_WIND,2020-01-01,05:00:00,0,926.03,922.551,922.551,0.0,0.0,0.012,895.265,3.467,63.095,63.095,0.0,0.0,116956.362,0.0,5840.42
317_WIND,2020-01-01,06:00:00,0,917.675,914.207,914.207,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,117019.457,0.0,5841.032
317_WIND,2020-01-01,07:00:00,0,937.37,933.903,933.903,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,117082.553,0.0,5841.644
317_WIND,2020-01-01,08:00:00,0,917.555,914.088,914.088,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,117145.648,0.0,5842.256
317_WIND,2020-01-01,09:00:00,0,870.764,867.297,867.297,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,117208.744,0.0,5842.868
317_WIND,2020-01-01,10:00:00,0,786.016,782.548,782.548,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,117271.839,0.0,5843.481
317_WIND,2020-01-01,11:00:00,0,591.332,587.865,587.865,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,117334.935,0.0,5844.093
317_WIND,2020-01-01,12:00:00,0,323.359,319.891,319.891,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,117398.03,0.0,5844.705
317_WIND,2020-01-01,13:00:00,0,63.502,60.035,60.035,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,117461.126,0.0,5845.317
317_WIND,2020-01-01,14:00:00,0,56.221,52.753,52.753,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,117524.221,0.0,5845.93
317_WIND,2020-01-01,15:00:00,0,113.038,109.571,109.571,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,117587.316,0.0,5846.542
317_WIND,2020-01-01,16:00:00,0,179.644,176.176,176.176,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,117650.412,0.0,5847.154
317_WIND,2020-01-01,17:00:00,0,137.508,134.041,134.041,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,117713.507,0.0,5847.766
317_WIND,2020-01-01,18:00:00,0,130.824,127.356,127.356,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,117776.603,0.0,5848.378
317_WIND,2020-01-01,19:00:00,0,255.321,251.854,251.854,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,117839.698,0.0,5848.991
317_WIND,2020-01-01,20:00:00,0,342.934,339.467,339.467,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,117902.794,0.0,5849.603
317_WIND,2020-01-01,21:00:00,0,460.628,457.161,457.161,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,117965.889,0.0,5850.215
317_WIND,2020-01-01,22:00:00,0,328.969,325.501,325.501,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,118028.985,0.0,5850.827
317_WIND,2020-01-01,23:00:00,0,472.206,468.739,468.739,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,118092.08,0.0,5851.44
317_WIND,2020-01-02,00:00:00,0,590.019,586.552,586.552,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,118155.176,0.0,5852.052
317_WIND,2020-01-02,01:00:00,0,334.46,330.992,330.992,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,118218.271,0.0,5852.664
317_WIND,2020-01-02,02:00:00,0,279.791,276.323,276.323,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,118281.367,0.0,5853.276
317_WIND,2020-01-02,03:00:00,0,210.32,206.853,206.853,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,118344.462,0.0,5853.889
317_WIND,2020-01-02,04:00:00,0,327.059,323.592,323.592,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,118407.557,0.0,5854.501
317_WIND,2020-01-02,05:00:00,0,637.526,634.059,634.059,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,118470.653,0.0,5855.113
317_WIND,2020-01-02,06:00:00,0,755.816,752.349,752.349,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,118533.748,0.0,5855.725
317_WIND,2020-01-02,07:00:00,0,695.776,692.309,692.309,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,118596.844,0.0,5856.337
317_WIND,2020-01-02,08:00:00,0,779.451,775.983,775.983,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,118659.939,0.0,5856.95
317_WIND,2020-01-02,09:00:00,0,849.518,846.05,846.05,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,118723.035,0.0,5857.562
317_WIND,2020-01-02,10:00:00,0,880.672,877.204,877.204,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,118786.13,0.0,5858.174
317_WIND,2020-01-02,11:00:00,0,748.296,744.829,744.829,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,118849.226,0.0,5858.786
317_WIND,2020-01-02,12:00:00,0,623.56,620.093,620.093,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,118912.321,0.0,5859.399
317_WIND,2020-01-02,13:00:00,0,532.485,529.018,529.018,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,118975.417,0.0,5860.011
317_WIND,2020-01-02,14:00:00,0,705.683,702.216,702.216,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,119038.512,0.0,5860.623
317_WIND,2020-01-02,15:00:00,0,727.885,724.418,724.418,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,119101.607,0.0,5861.235
317_WIND,2020-01-02,16:00:00,0,680.855,677.388,677.388,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,119164.703,0.0,5861.847
317_WIND,2020-01-02,17:00:00,0,727.527,724.06,724.06,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,119227.798,0.0,5862.46
317_WIND,2020-01-02,18:00:00,0,847.369,843.902,843.902,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,119290.894,0.0,5863.072
317_WIND,2020-01-02,19:00:00,0,846.653,843.186,843.186,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,119353.989,0.0,5863.684
317_WIND,2020-01-02,20:00:00,0,839.014,835.546,835.546,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,119417.085,0.0,5864.296
317_WIND,2020-01-02,21:00:00,0,864.916,861.448,861.448,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,119480.18,0.0,5864.909
317_WIND,2020-01-02,22:00:00,0,890.102,886.634,886.634,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,119543.276,0.0,5865.521
317_WIND,2020-01-02,23:00:00,0,829.703,826.236,826.236,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,119606.371,0.0,5866.133
317_WIND,2020-01-03,00:00:00,0,836.507,833.04,833.04,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,119669.467,0.0,5866.745
317_WIND,2020-01-03,01:00:00,0,820.751,817.283,817.283,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,119732.562,0.0,5867.358
317_WIND,2020-01-03,02:00:00,0,720.723,717.256,717.256,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,119795.658,0.0,5867.97
317_WIND,2020-01-03,03:00:00,0,784.822,781.355,781.355,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,119858.753,0.0,5868.582
317_WIND,2020-01-03,04:00:00,0,710.816,707.349,707.349,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,119921.848,0.0,5869.194
317_WIND,2020-01-03,05:00:00,0,800.22,796.753,796.753,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,119984.944,0.0,5869.806
317_WIND,2020-01-03,06:00:00,0,651.492,648.024,648.024,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,120048.039,0.0,5870.419
317_WIND,2020-01-03,07:00:00,0,726.333,722.866,722.866,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,120111.135,0.0,5871.031
317_WIND,2020-01-03,08:00:00,0,618.308,614.841,614.841,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,120174.23,0.0,5871.643
317_WIND,2020-01-03,09:00:00,0,659.25,655.783,655.783,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,120237.326,0.0,5872.255
317_WIND,2020-01-03,10:00:00,0,627.022,623.555,623.555,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,120300.421,0.0,5872.868
317_WIND,2020-01-03,11:00:00,0,505.151,501.684,501.684,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,120363.517,0.0,5873.48
317_WIND,2020-01-03,12:00:00,0,345.202,341.735,341.735,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,120426.612,0.0,5874.092
317_WIND,2020-01-03,13:00:00,0,330.879,327.411,327.411,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,120489.708,0.0,5874.704
317_WIND,2020-01-03,14:00:00,0,330.64,327.173,327.173,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,120552.803,0.0,5875.316
317_WIND,2020-01-03,15:00:00,0,310.706,307.239,307.239,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,120615.899,0.0,5875.929
317_WIND,2020-01-03,16:00:00,0,488.798,485.331,485.331,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,120678.994,0.0,5876.541
317_WIND,2020-01-03,17:00:00,0,673.216,669.749,669.749,0.0,0.0,0.0,895.265,3.467,63.095,63.095,0.0,0.0,120742.089,0.0,5877.153
