Date,Hour,Horizon [hr],Power Dispatch [MW],Power Output [MW],Power Underdelivered [MW],Power Overdelivered [MW]
2020-01-01,00:00:00,0,782.7,836.16,0.0,53.46
2020-01-01,01:00:00,0,768.8,819.57,0.0,50.77
2020-01-01,02:00:00,0,766.2,910.8,0.0,144.6
2020-01-01,03:00:00,0,733.4,799.08,0.0,65.68
2020-01-01,04:00:00,0,765.5,837.4,0.0,71.9
2020-01-01,05:00:00,0,775.8,849.7,0.0,73.9
2020-01-01,06:00:00,0,768.8,905.07,0.0,136.27
2020-01-01,07:00:00,0,785.3,924.76,0.0,139.46
2020-01-01,08:00:00,0,768.7,904.95,0.0,136.25
2020-01-01,09:00:00,0,729.5,858.16,0.0,128.66
2020-01-01,10:00:00,0,658.5,773.41,0.0,114.91
2020-01-01,11:00:00,0,495.4,578.73,0.0,83.33
2020-01-01,12:00:00,0,270.9,319.59,0.0,48.69
2020-01-01,13:00:00,0,53.2,108.7,0.0,55.5
2020-01-01,14:00:00,0,47.1,101.42,0.0,54.32
2020-01-01,15:00:00,0,94.7,203.6,0.0,108.9
2020-01-01,16:00:00,0,150.5,200.63,0.0,50.13
2020-01-01,17:00:00,0,115.2,228.06,0.0,112.86
2020-01-01,18:00:00,0,109.6,221.38,0.0,111.78
2020-01-01,19:00:00,0,213.9,249.62,0.0,35.72
2020-01-01,20:00:00,0,287.3,338.79,0.0,51.49
2020-01-01,21:00:00,0,385.9,456.49,0.0,70.59
2020-01-01,22:00:00,0,275.6,324.83,0.0,49.23
2020-01-01,23:00:00,0,395.6,468.07,0.0,72.47
2020-01-02,00:00:00,0,494.3,585.88,0.0,91.58
2020-01-02,01:00:00,0,280.2,330.32,0.0,50.12
2020-01-02,02:00:00,0,234.4,275.65,0.0,41.25
2020-01-02,03:00:00,0,176.2,300.88,0.0,124.68
2020-01-02,04:00:00,0,274.0,322.92,0.0,48.92
2020-01-02,05:00:00,0,534.1,633.39,0.0,99.29
2020-01-02,06:00:00,0,633.2,751.68,0.0,118.48
2020-01-02,07:00:00,0,582.9,691.64,0.0,108.74
2020-01-02,08:00:00,0,653.0,775.31,0.0,122.31
2020-01-02,09:00:00,0,711.7,845.38,0.0,133.68
2020-01-02,10:00:00,0,737.8,875.49,0.0,137.69
2020-01-02,11:00:00,0,626.9,744.16,0.0,117.26
2020-01-02,12:00:00,0,0.0,601.74,0.0,601.74
2020-01-02,13:00:00,0,446.1,526.79,0.0,80.69
2020-01-02,14:00:00,0,591.2,699.99,0.0,108.79
2020-01-02,15:00:00,0,609.8,722.19,0.0,112.39
2020-01-02,16:00:00,0,570.4,675.16,0.0,104.76
2020-01-02,17:00:00,0,609.5,721.83,0.0,112.33
2020-01-02,18:00:00,0,709.9,841.67,0.0,131.77
2020-01-02,19:00:00,0,709.3,840.96,0.0,131.66
2020-01-02,20:00:00,0,702.9,833.32,0.0,130.42
2020-01-02,21:00:00,0,724.6,792.39,0.0,67.79
2020-01-02,22:00:00,0,745.7,817.58,0.0,71.88
2020-01-02,23:00:00,0,695.1,815.45,0.0,120.35
2020-01-03,00:00:00,0,700.8,822.25,0.0,121.45
