Generator,Date,Hour,Horizon [hr],Total Wind Generation [MW],Total Power Output [MW],Wind Power Output [MW],Wind Curtailment [MW],Battery Power Output [MW],Wind Power to Battery [MW],State of Charge [MWh],Wind Power to PEM [MW],PEM H2 Output [kg],Tank H2 Input [kg],H2 Sales [kg],Turbine H2 Input [kg],Tank Holdup [kg],Turbine Power Output [MW],Total Cost [$]
317_WIND,2020-01-01,00:00:00,0,934.266,934.168,934.168,0.0,0.0,0.094,170.513,0.004,0.069,0.069,0.0,0.0,91178.557,0.0,5566.85
317_WIND,2020-01-01,01:00:00,0,917.675,917.576,917.576,0.0,0.0,0.094,170.603,0.004,0.069,0.069,0.0,0.0,91178.626,0.0,5566.851
317_WIND,2020-01-01,02:00:00,0,914.571,914.567,914.567,0.0,0.0,0.0,170.603,0.004,0.069,0.069,0.0,0.0,91178.695,0.0,5566.851
317_WIND,2020-01-01,03:00:00,0,875.42,875.343,875.343,0.0,0.0,0.073,170.672,0.004,0.069,0.069,0.0,0.0,91178.763,0.0,5566.852
317_WIND,2020-01-01,04:00:00,0,913.736,913.659,913.659,0.0,0.0,0.073,170.741,0.004,0.069,0.069,0.0,0.0,91178.832,0.0,5566.853
317_WIND,2020-01-01,05:00:00,0,926.03,925.954,925.954,0.0,0.0,0.073,170.81,0.004,0.069,0.069,0.0,0.0,91178.901,0.0,5566.853
317_WIND,2020-01-01,06:00:00,0,917.675,917.598,917.598,0.0,0.0,0.073,170.879,0.004,0.069,0.069,0.0,0.0,91178.969,0.0,5566.854
317_WIND,2020-01-01,07:00:00,0,937.37,937.293,937.293,0.0,0.0,0.073,170.948,0.004,0.069,0.069,0.0,0.0,91179.038,0.0,5566.855
317_WIND,2020-01-01,08:00:00,0,917.555,917.479,917.479,0.0,0.0,0.073,171.017,0.004,0.069,0.069,0.0,0.0,91179.107,0.0,5566.855
317_WIND,2020-01-01,09:00:00,0,870.764,870.688,870.688,0.0,0.0,0.073,171.086,0.004,0.069,0.069,0.0,0.0,91179.175,0.0,5566.856
317_WIND,2020-01-01,10:00:00,0,786.015,785.939,785.939,0.0,0.0,0.073,171.154,0.004,0.069,0.069,0.0,0.0,91179.244,0.0,5566.857
317_WIND,2020-01-01,11:00:00,0,591.332,591.26,591.26,0.0,0.0,0.068,171.219,0.004,0.069,0.069,0.0,0.0,91179.312,0.0,5566.857
317_WIND,2020-01-01,12:00:00,0,323.359,323.319,323.319,0.0,0.0,0.038,171.255,0.002,0.034,0.034,0.0,0.0,91179.347,0.0,5566.845
317_WIND,2020-01-01,13:00:00,0,63.502,63.547,63.502,0.0,0.045,0.0,171.207,-0.0,0.0,0.0,0.0,0.0,91179.347,0.0,5566.832
317_WIND,2020-01-01,14:00:00,0,56.221,56.266,56.221,0.0,0.045,0.0,171.16,-0.0,0.0,0.0,0.0,0.0,91179.347,0.0,5566.832
317_WIND,2020-01-01,15:00:00,0,113.038,113.103,113.034,0.0,0.069,0.0,171.087,0.004,0.069,0.069,0.0,0.0,91179.415,0.0,5566.858
317_WIND,2020-01-01,16:00:00,0,179.644,179.64,179.64,0.0,0.0,0.0,171.087,0.004,0.069,0.069,0.0,0.0,91179.484,0.0,5566.859
317_WIND,2020-01-01,17:00:00,0,137.508,137.504,137.504,0.0,0.0,0.0,171.087,0.004,0.069,0.069,0.0,0.0,91179.553,0.0,5566.86
317_WIND,2020-01-01,18:00:00,0,130.824,130.914,130.82,0.0,0.094,0.0,170.988,0.004,0.069,0.069,0.0,0.0,91179.621,0.0,5566.86
317_WIND,2020-01-01,19:00:00,0,255.321,255.315,255.315,0.0,0.0,0.002,170.99,0.004,0.068,0.068,0.0,0.0,91179.69,0.0,5566.861
317_WIND,2020-01-01,20:00:00,0,342.934,342.93,342.93,0.0,0.0,0.001,170.99,0.004,0.069,0.069,0.0,0.0,91179.758,0.0,5566.862
317_WIND,2020-01-01,21:00:00,0,460.628,460.624,460.623,0.0,0.0,0.001,170.991,0.004,0.069,0.069,0.0,0.0,91179.827,0.0,5566.862
317_WIND,2020-01-01,22:00:00,0,328.969,328.965,328.964,0.0,0.0,0.001,170.991,0.004,0.069,0.069,0.0,0.0,91179.896,0.0,5566.863
317_WIND,2020-01-01,23:00:00,0,472.206,472.202,472.202,0.0,0.0,0.001,170.991,0.004,0.069,0.069,0.0,0.0,91179.964,0.0,5566.864
317_WIND,2020-01-02,00:00:00,0,590.019,590.015,590.015,0.0,0.0,0.001,170.992,0.004,0.069,0.069,0.0,0.0,91180.033,0.0,5566.864
317_WIND,2020-01-02,01:00:00,0,334.459,334.455,334.455,0.0,0.0,0.001,170.992,0.004,0.069,0.069,0.0,0.0,91180.102,0.0,5566.865
317_WIND,2020-01-02,02:00:00,0,279.79,279.786,279.786,0.0,0.0,0.001,170.992,0.004,0.069,0.069,0.0,0.0,91180.17,0.0,5566.866
317_WIND,2020-01-02,03:00:00,0,210.32,210.411,210.317,0.0,0.094,0.0,170.893,0.004,0.069,0.069,0.0,0.0,91180.239,0.0,5566.866
317_WIND,2020-01-02,04:00:00,0,327.059,327.055,327.055,0.0,0.0,0.001,170.893,0.004,0.069,0.069,0.0,0.0,91180.308,0.0,5566.867
317_WIND,2020-01-02,05:00:00,0,637.526,637.522,637.522,0.0,0.0,0.001,170.894,0.004,0.069,0.069,0.0,0.0,91180.376,0.0,5566.868
317_WIND,2020-01-02,06:00:00,0,755.816,755.812,755.812,0.0,0.0,0.001,170.894,0.004,0.069,0.069,0.0,0.0,91180.445,0.0,5566.868
317_WIND,2020-01-02,07:00:00,0,695.776,695.772,695.772,0.0,0.0,0.001,170.894,0.004,0.069,0.069,0.0,0.0,91180.514,0.0,5566.869
317_WIND,2020-01-02,08:00:00,0,779.45,779.446,779.446,0.0,0.0,0.001,170.895,0.004,0.069,0.069,0.0,0.0,91180.582,0.0,5566.87
317_WIND,2020-01-02,09:00:00,0,849.517,849.513,849.513,0.0,0.0,0.001,170.895,0.004,0.069,0.069,0.0,0.0,91180.651,0.0,5566.87
317_WIND,2020-01-02,10:00:00,0,880.672,880.666,880.666,0.0,0.0,0.001,170.896,0.004,0.069,0.069,0.0,0.0,91180.72,0.0,5566.871
317_WIND,2020-01-02,11:00:00,0,748.296,748.292,748.292,0.0,0.0,0.001,170.897,0.004,0.069,0.069,0.0,0.0,91180.788,0.0,5566.872
317_WIND,2020-01-02,12:00:00,0,623.56,623.539,623.539,0.0,0.0,0.018,170.914,0.004,0.069,0.069,0.0,0.0,91180.857,0.0,5566.872
317_WIND,2020-01-02,13:00:00,0,532.485,532.479,532.479,0.0,0.0,0.002,170.916,0.004,0.068,0.068,0.0,0.0,91180.925,0.0,5566.873
317_WIND,2020-01-02,14:00:00,0,705.683,705.677,705.677,0.0,0.0,0.002,170.917,0.004,0.068,0.068,0.0,0.0,91180.993,0.0,5566.874
317_WIND,2020-01-02,15:00:00,0,727.885,727.879,727.879,0.0,0.0,0.002,170.919,0.004,0.068,0.068,0.0,0.0,91181.062,0.0,5566.874
317_WIND,2020-01-02,16:00:00,0,680.855,680.85,680.85,0.0,0.0,0.002,170.921,0.004,0.068,0.068,0.0,0.0,91181.13,0.0,5566.875
317_WIND,2020-01-02,17:00:00,0,727.527,727.521,727.521,0.0,0.0,0.002,170.923,0.004,0.068,0.068,0.0,0.0,91181.198,0.0,5566.876
317_WIND,2020-01-02,18:00:00,0,847.369,847.363,847.363,0.0,0.0,0.002,170.925,0.004,0.068,0.068,0.0,0.0,91181.266,0.0,5566.876
317_WIND,2020-01-02,19:00:00,0,846.653,846.647,846.647,0.0,0.0,0.002,170.927,0.004,0.068,0.068,0.0,0.0,91181.334,0.0,5566.877
317_WIND,2020-01-02,20:00:00,0,839.013,839.008,839.008,0.0,0.0,0.002,170.929,0.004,0.068,0.068,0.0,0.0,91181.403,0.0,5566.878
