Date,Hour,Horizon [hr],Power Dispatch [MW],Power Output [MW],Power Underdelivered [MW],Power Overdelivered [MW]
2020-01-01,00:00:00,0,782.7,930.8,0.0,148.1
2020-01-01,01:00:00,0,768.8,914.21,0.0,145.41
2020-01-01,02:00:00,0,766.2,911.11,0.0,144.91
2020-01-01,03:00:00,0,733.4,871.95,0.0,138.55
2020-01-01,04:00:00,0,765.5,910.27,0.0,144.77
2020-01-01,05:00:00,0,775.8,922.56,0.0,146.76
2020-01-01,06:00:00,0,768.8,914.21,0.0,145.41
2020-01-01,07:00:00,0,785.3,933.9,0.0,148.6
2020-01-01,08:00:00,0,768.7,914.09,0.0,145.39
2020-01-01,09:00:00,0,729.5,867.3,0.0,137.8
2020-01-01,10:00:00,0,658.5,782.55,0.0,124.05
2020-01-01,11:00:00,0,495.4,588.24,0.0,92.84
2020-01-01,12:00:00,0,270.9,319.94,0.0,49.04
2020-01-01,13:00:00,0,53.2,63.5,0.0,10.3
2020-01-01,14:00:00,0,47.1,56.22,0.0,9.12
2020-01-01,15:00:00,0,94.7,113.04,0.0,18.34
2020-01-01,16:00:00,0,150.5,176.22,0.0,25.72
2020-01-01,17:00:00,0,115.2,134.09,0.0,18.89
2020-01-01,18:00:00,0,109.6,127.4,0.0,17.8
2020-01-01,19:00:00,0,213.9,251.86,0.0,37.96
2020-01-01,20:00:00,0,287.3,339.47,0.0,52.17
2020-01-01,21:00:00,0,385.9,457.16,0.0,71.26
2020-01-01,22:00:00,0,275.6,325.5,0.0,49.9
2020-01-01,23:00:00,0,395.6,468.74,0.0,73.14
2020-01-02,00:00:00,0,494.3,586.55,0.0,92.25
2020-01-02,01:00:00,0,280.2,331.04,0.0,50.84
2020-01-02,02:00:00,0,234.4,276.32,0.0,41.92
2020-01-02,03:00:00,0,176.2,206.96,0.0,30.76
2020-01-02,04:00:00,0,274.0,323.59,0.0,49.59
2020-01-02,05:00:00,0,534.1,634.06,0.0,99.96
2020-01-02,06:00:00,0,633.2,752.35,0.0,119.15
2020-01-02,07:00:00,0,582.9,692.31,0.0,109.41
2020-01-02,08:00:00,0,653.0,775.99,0.0,122.99
2020-01-02,09:00:00,0,711.7,846.05,0.0,134.35
2020-01-02,10:00:00,0,737.8,877.21,0.0,139.41
2020-01-02,11:00:00,0,626.9,744.83,0.0,117.93
2020-01-02,12:00:00,0,0.0,619.8,0.0,619.8
2020-01-02,13:00:00,0,446.1,529.02,0.0,82.92
2020-01-02,14:00:00,0,591.2,702.22,0.0,111.02
2020-01-02,15:00:00,0,609.8,724.42,0.0,114.62
2020-01-02,16:00:00,0,570.4,677.39,0.0,106.99
2020-01-02,17:00:00,0,609.5,724.06,0.0,114.56
2020-01-02,18:00:00,0,709.9,843.9,0.0,134.0
2020-01-02,19:00:00,0,709.3,843.19,0.0,133.89
2020-01-02,20:00:00,0,702.9,835.55,0.0,132.65
2020-01-02,21:00:00,0,724.6,861.45,0.0,136.85
2020-01-02,22:00:00,0,745.7,886.64,0.0,140.94
2020-01-02,23:00:00,0,695.1,826.24,0.0,131.14
2020-01-03,00:00:00,0,700.8,833.04,0.0,132.24
2020-01-03,01:00:00,0,687.6,817.29,0.0,129.69
2020-01-03,02:00:00,0,603.8,717.26,0.0,113.46
2020-01-03,03:00:00,0,657.5,781.36,0.0,123.86
2020-01-03,04:00:00,0,595.5,707.35,0.0,111.85
2020-01-03,05:00:00,0,670.4,796.75,0.0,126.35
2020-01-03,06:00:00,0,545.8,648.03,0.0,102.23
2020-01-03,07:00:00,0,608.5,722.87,0.0,114.37
2020-01-03,08:00:00,0,518.0,614.84,0.0,96.84
2020-01-03,09:00:00,0,552.3,655.78,0.0,103.48
2020-01-03,10:00:00,0,525.3,623.56,0.0,98.26
2020-01-03,11:00:00,0,423.2,501.69,0.0,78.49
2020-01-03,12:00:00,0,289.2,341.74,0.0,52.54
2020-01-03,13:00:00,0,277.2,327.41,0.0,50.21
2020-01-03,14:00:00,0,277.0,327.17,0.0,50.17
2020-01-03,15:00:00,0,260.3,307.24,0.0,46.94
2020-01-03,16:00:00,0,409.5,485.33,0.0,75.83
2020-01-03,17:00:00,0,564.0,669.75,0.0,105.75
2020-01-03,18:00:00,0,581.0,690.04,0.0,109.04
2020-01-03,19:00:00,0,379.3,449.33,0.0,70.03
2020-01-03,20:00:00,0,355.5,420.92,0.0,65.42
2020-01-03,21:00:00,0,276.4,326.67,0.0,50.27
2020-01-03,22:00:00,0,31.4,37.48,0.0,6.08
