Generator,Date,Hour,Horizon [hr],Total Wind Generation [MW],Total Power Output [MW],Wind Power Output [MW],Wind Curtailment [MW],Battery Power Output [MW],Wind Power to Battery [MW],State of Charge [MWh],Wind Power to PEM [MW],PEM H2 Output [kg],Tank H2 Input [kg],H2 Sales [kg],Turbine H2 Input [kg],Tank Holdup [kg],Turbine Power Output [MW],Total Cost [$]
317_WIND,2020-01-01,00:00:00,0,934.266,930.799,930.799,0.0,0.0,0.0,665.455,3.467,63.095,63.095,0.0,0.0,121239.308,0.0,5881.978
317_WIND,2020-01-01,01:00:00,0,917.675,914.209,914.209,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,121302.372,0.0,5882.578
317_WIND,2020-01-01,02:00:00,0,914.571,911.106,911.106,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,121365.435,0.0,5883.19
317_WIND,2020-01-01,03:00:00,0,875.42,871.954,871.954,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,121428.499,0.0,5883.802
317_WIND,2020-01-01,04:00:00,0,913.736,910.27,910.27,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,121491.562,0.0,5884.414
317_WIND,2020-01-01,05:00:00,0,926.03,922.563,922.563,0.0,0.0,0.0,665.455,3.467,63.095,63.095,0.0,0.0,121554.658,0.0,5885.038
317_WIND,2020-01-01,06:00:00,0,917.675,914.209,914.209,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,121617.721,0.0,5885.638
317_WIND,2020-01-01,07:00:00,0,937.37,933.903,933.903,0.0,0.0,0.0,665.455,3.467,63.095,63.095,0.0,0.0,121680.817,0.0,5886.262
317_WIND,2020-01-01,08:00:00,0,917.555,914.09,914.09,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,121743.88,0.0,5886.862
317_WIND,2020-01-01,09:00:00,0,870.764,867.299,867.299,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,121806.944,0.0,5887.474
317_WIND,2020-01-01,10:00:00,0,786.016,782.55,782.55,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,121870.007,0.0,5888.086
317_WIND,2020-01-01,11:00:00,0,591.332,588.236,588.236,0.0,0.0,0.0,665.455,3.096,56.335,56.335,0.0,0.0,121926.343,0.0,5886.13
317_WIND,2020-01-01,12:00:00,0,323.359,319.938,319.938,0.0,0.0,0.0,665.455,3.421,62.254,62.254,0.0,0.0,121988.597,0.0,5888.935
317_WIND,2020-01-01,13:00:00,0,63.502,63.502,63.502,0.0,0.0,0.0,665.455,-0.0,0.0,0.0,0.0,0.0,121988.597,0.0,5865.781
317_WIND,2020-01-01,14:00:00,0,56.221,56.221,56.221,0.0,0.0,0.0,665.455,-0.0,0.0,0.0,0.0,0.0,121988.597,0.0,5865.781
317_WIND,2020-01-01,15:00:00,0,113.038,113.038,113.038,0.0,0.0,0.0,665.455,-0.0,0.0,0.0,0.0,0.0,121988.597,0.0,5865.781
317_WIND,2020-01-01,16:00:00,0,179.644,176.223,176.223,0.0,0.0,0.0,665.455,3.421,62.254,62.254,0.0,0.0,122050.851,0.0,5889.539
317_WIND,2020-01-01,17:00:00,0,137.508,134.087,134.087,0.0,0.0,0.0,665.455,3.421,62.254,62.254,0.0,0.0,122113.105,0.0,5890.144
317_WIND,2020-01-01,18:00:00,0,130.824,127.402,127.402,0.0,0.0,0.0,665.455,3.421,62.254,62.254,0.0,0.0,122175.359,0.0,5890.748
317_WIND,2020-01-01,19:00:00,0,255.321,251.855,251.855,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,122238.423,0.0,5891.661
317_WIND,2020-01-01,20:00:00,0,342.934,339.469,339.469,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,122301.487,0.0,5892.272
317_WIND,2020-01-01,21:00:00,0,460.628,457.162,457.162,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,122364.55,0.0,5892.884
317_WIND,2020-01-01,22:00:00,0,328.969,325.503,325.503,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,122427.614,0.0,5893.496
317_WIND,2020-01-01,23:00:00,0,472.206,468.741,468.741,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,122490.677,0.0,5894.108
317_WIND,2020-01-02,00:00:00,0,590.019,586.553,586.553,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,122553.741,0.0,5894.72
317_WIND,2020-01-02,01:00:00,0,334.46,331.038,331.038,0.0,0.0,0.0,665.455,3.421,62.254,62.254,0.0,0.0,122615.995,0.0,5895.023
317_WIND,2020-01-02,02:00:00,0,279.791,276.325,276.325,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,122679.058,0.0,5895.936
317_WIND,2020-01-02,03:00:00,0,210.32,206.965,206.965,0.0,0.0,0.0,665.455,3.355,61.06,61.06,0.0,0.0,122740.119,0.0,5895.783
317_WIND,2020-01-02,04:00:00,0,327.059,323.593,323.593,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,122803.182,0.0,5897.14
317_WIND,2020-01-02,05:00:00,0,637.526,634.061,634.061,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,122866.246,0.0,5897.752
317_WIND,2020-01-02,06:00:00,0,755.816,752.351,752.351,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,122929.309,0.0,5898.364
317_WIND,2020-01-02,07:00:00,0,695.776,692.31,692.31,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,122992.373,0.0,5898.976
317_WIND,2020-01-02,08:00:00,0,779.451,775.985,775.985,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,123055.436,0.0,5899.588
317_WIND,2020-01-02,09:00:00,0,849.518,846.052,846.052,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,123118.5,0.0,5900.2
317_WIND,2020-01-02,10:00:00,0,880.672,877.206,877.206,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,123181.563,0.0,5900.812
317_WIND,2020-01-02,11:00:00,0,748.296,744.831,744.831,0.0,0.0,0.0,665.455,3.466,63.064,63.064,0.0,0.0,123244.627,0.0,5901.424
317_WIND,2020-01-02,12:00:00,0,623.56,619.796,619.796,0.0,0.0,0.297,665.737,3.467,63.095,63.095,0.0,0.0,123307.722,0.0,5902.048
317_WIND,2020-01-02,13:00:00,0,532.485,529.02,529.02,0.0,0.0,0.0,665.737,3.466,63.064,63.064,0.0,0.0,123370.786,0.0,5902.648
317_WIND,2020-01-02,14:00:00,0,705.683,702.218,702.218,0.0,0.0,0.0,665.737,3.466,63.064,63.064,0.0,0.0,123433.849,0.0,5903.26
317_WIND,2020-01-02,15:00:00,0,727.885,724.42,724.42,0.0,0.0,0.0,665.737,3.466,63.064,63.064,0.0,0.0,123496.913,0.0,5903.872
317_WIND,2020-01-02,16:00:00,0,680.855,677.39,677.39,0.0,0.0,0.0,665.737,3.466,63.064,63.064,0.0,0.0,123559.977,0.0,5904.484
317_WIND,2020-01-02,17:00:00,0,727.527,724.061,724.061,0.0,0.0,0.0,665.737,3.466,63.064,63.064,0.0,0.0,123623.04,0.0,5905.096
317_WIND,2020-01-02,18:00:00,0,847.369,843.903,843.903,0.0,0.0,0.0,665.737,3.466,63.064,63.064,0.0,0.0,123686.104,0.0,5905.708
317_WIND,2020-01-02,19:00:00,0,846.653,843.187,843.187,0.0,0.0,0.0,665.737,3.466,63.064,63.064,0.0,0.0,123749.167,0.0,5906.32
317_WIND,2020-01-02,20:00:00,0,839.014,835.548,835.548,0.0,0.0,0.0,665.737,3.466,63.064,63.064,0.0,0.0,123812.231,0.0,5906.931
317_WIND,2020-01-02,21:00:00,0,864.916,861.45,861.45,0.0,0.0,0.0,665.737,3.466,63.064,63.064,0.0,0.0,123875.294,0.0,5907.543
317_WIND,2020-01-02,22:00:00,0,890.102,886.636,886.636,0.0,0.0,0.0,665.737,3.466,63.064,63.064,0.0,0.0,123938.358,0.0,5908.155
317_WIND,2020-01-02,23:00:00,0,829.703,826.238,826.238,0.0,0.0,0.0,665.737,3.466,63.064,63.064,0.0,0.0,124001.421,0.0,5908.767
317_WIND,2020-01-03,00:00:00,0,836.507,833.041,833.041,0.0,0.0,0.0,665.737,3.466,63.064,63.064,0.0,0.0,124064.485,0.0,5909.379
317_WIND,2020-01-03,01:00:00,0,820.751,817.285,817.285,0.0,0.0,0.0,665.737,3.466,63.064,63.064,0.0,0.0,124127.548,0.0,5909.991
317_WIND,2020-01-03,02:00:00,0,720.723,717.258,717.258,0.0,0.0,0.0,665.737,3.466,63.064,63.064,0.0,0.0,124190.612,0.0,5910.603
317_WIND,2020-01-03,03:00:00,0,784.822,781.356,781.356,0.0,0.0,0.0,665.737,3.466,63.064,63.064,0.0,0.0,124253.675,0.0,5911.215
317_WIND,2020-01-03,04:00:00,0,710.816,707.35,707.35,0.0,0.0,0.0,665.737,3.466,63.064,63.064,0.0,0.0,124316.739,0.0,5911.827
