Date,Hour,Horizon [hr],Power Dispatch [MW],Power Output [MW],Power Underdelivered [MW],Power Overdelivered [MW]
2020-01-01,00:00:00,0,782.7,934.26,0.0,151.56
2020-01-01,01:00:00,0,768.8,917.67,0.0,148.87
2020-01-01,02:00:00,0,766.2,914.57,0.0,148.37
2020-01-01,03:00:00,0,733.4,875.42,0.0,142.02
2020-01-01,04:00:00,0,765.5,913.73,0.0,148.23
2020-01-01,05:00:00,0,775.8,926.03,0.0,150.23
2020-01-01,06:00:00,0,768.8,917.67,0.0,148.87
2020-01-01,07:00:00,0,785.3,937.37,0.0,152.07
2020-01-01,08:00:00,0,768.7,917.55,0.0,148.85
2020-01-01,09:00:00,0,729.5,870.76,0.0,141.26
2020-01-01,10:00:00,0,658.5,786.01,0.0,127.51
2020-01-01,11:00:00,0,495.4,591.33,0.0,95.93
2020-01-01,12:00:00,0,270.9,323.36,0.0,52.46
2020-01-01,13:00:00,0,53.2,63.5,0.0,10.3
2020-01-01,14:00:00,0,47.1,56.22,0.0,9.12
2020-01-01,15:00:00,0,94.7,113.04,0.0,18.34
2020-01-01,16:00:00,0,150.5,179.64,0.0,29.14
2020-01-01,17:00:00,0,115.2,137.5,0.0,22.3
2020-01-01,18:00:00,0,109.6,130.82,0.0,21.22
2020-01-01,19:00:00,0,213.9,255.32,0.0,41.42
2020-01-01,20:00:00,0,287.3,342.93,0.0,55.63
2020-01-01,21:00:00,0,385.9,460.62,0.0,74.72
2020-01-01,22:00:00,0,275.6,328.97,0.0,53.37
2020-01-01,23:00:00,0,395.6,472.2,0.0,76.6
2020-01-02,00:00:00,0,494.3,590.02,0.0,95.72
2020-01-02,01:00:00,0,280.2,334.46,0.0,54.26
2020-01-02,02:00:00,0,234.4,279.79,0.0,45.39
2020-01-02,03:00:00,0,176.2,210.32,0.0,34.12
2020-01-02,04:00:00,0,274.0,327.06,0.0,53.06
2020-01-02,05:00:00,0,534.1,637.52,0.0,103.42
2020-01-02,06:00:00,0,633.2,755.81,0.0,122.61
2020-01-02,07:00:00,0,582.9,695.77,0.0,112.87
2020-01-02,08:00:00,0,653.0,779.45,0.0,126.45
2020-01-02,09:00:00,0,711.7,849.51,0.0,137.81
2020-01-02,10:00:00,0,737.8,880.67,0.0,142.87
2020-01-02,11:00:00,0,626.9,748.29,0.0,121.39
2020-01-02,12:00:00,0,0.0,623.56,0.0,623.56
2020-01-02,13:00:00,0,446.1,532.48,0.0,86.38
2020-01-02,14:00:00,0,591.2,705.68,0.0,114.48
2020-01-02,15:00:00,0,609.8,727.88,0.0,118.08
2020-01-02,16:00:00,0,570.4,680.85,0.0,110.45
2020-01-02,17:00:00,0,609.5,727.52,0.0,118.02
2020-01-02,18:00:00,0,709.9,847.37,0.0,137.47
2020-01-02,19:00:00,0,709.3,846.65,0.0,137.35
2020-01-02,20:00:00,0,702.9,839.01,0.0,136.11
2020-01-02,21:00:00,0,724.6,864.91,0.0,140.31
2020-01-02,22:00:00,0,745.7,890.1,0.0,144.4
2020-01-02,23:00:00,0,695.1,829.7,0.0,134.6
2020-01-03,00:00:00,0,700.8,836.5,0.0,135.7
2020-01-03,01:00:00,0,687.6,820.75,0.0,133.15
2020-01-03,02:00:00,0,603.8,720.72,0.0,116.92
2020-01-03,03:00:00,0,657.5,784.82,0.0,127.32
2020-01-03,04:00:00,0,595.5,710.81,0.0,115.31
2020-01-03,05:00:00,0,670.4,800.22,0.0,129.82
2020-01-03,06:00:00,0,545.8,651.49,0.0,105.69
2020-01-03,07:00:00,0,608.5,726.33,0.0,117.83
2020-01-03,08:00:00,0,518.0,618.3,0.0,100.3
2020-01-03,09:00:00,0,552.3,659.25,0.0,106.95
2020-01-03,10:00:00,0,525.3,627.02,0.0,101.72
2020-01-03,11:00:00,0,423.2,505.15,0.0,81.95
2020-01-03,12:00:00,0,289.2,345.2,0.0,56.0
2020-01-03,13:00:00,0,277.2,330.88,0.0,53.68
2020-01-03,14:00:00,0,277.0,330.64,0.0,53.64
2020-01-03,15:00:00,0,260.3,310.7,0.0,50.4
2020-01-03,16:00:00,0,409.5,488.79,0.0,79.29
2020-01-03,17:00:00,0,564.0,673.21,0.0,109.21
2020-01-03,18:00:00,0,581.0,693.5,0.0,112.5
2020-01-03,19:00:00,0,379.3,452.75,0.0,73.45
2020-01-03,20:00:00,0,355.5,424.34,0.0,68.84
2020-01-03,21:00:00,0,276.4,329.92,0.0,53.52
2020-01-03,22:00:00,0,31.4,37.48,0.0,6.08
2020-01-03,23:00:00,0,6.9,8.24,0.0,1.34
2020-01-04,00:00:00,0,5.3,6.33,0.0,1.03
2020-01-04,01:00:00,0,4.4,5.25,0.0,0.85
2020-01-04,02:00:00,0,6.2,7.4,0.0,1.2
2020-01-04,03:00:00,0,4.5,5.37,0.0,0.87
2020-01-04,04:00:00,0,6.6,7.88,0.0,1.28
2020-01-04,05:00:00,0,6.1,7.28,0.0,1.18
2020-01-04,06:00:00,0,7.3,8.71,0.0,1.41
2020-01-04,07:00:00,0,6.5,7.76,0.0,1.26
2020-01-04,08:00:00,0,4.3,5.13,0.0,0.83
2020-01-04,09:00:00,0,10.8,12.89,0.0,2.09
2020-01-04,10:00:00,0,189.5,226.19,0.0,36.69
2020-01-04,11:00:00,0,0.0,288.14,0.0,288.14
2020-01-04,12:00:00,0,0.0,696.96,0.0,696.96
2020-01-04,13:00:00,0,0.0,660.92,0.0,660.92
2020-01-04,14:00:00,0,0.0,712.96,0.0,712.96
2020-01-04,15:00:00,0,0.0,553.97,0.0,553.97
2020-01-04,16:00:00,0,478.2,570.8,0.0,92.6
2020-01-04,17:00:00,0,540.4,645.04,0.0,104.64
2020-01-04,18:00:00,0,392.9,468.98,0.0,76.08
2020-01-04,19:00:00,0,524.0,625.47,0.0,101.47
2020-01-04,20:00:00,0,742.5,886.28,0.0,143.78
2020-01-04,21:00:00,0,782.2,933.67,0.0,151.47
2020-01-04,22:00:00,0,778.2,928.89,0.0,150.69
