Generator,Date,Hour,Horizon [hr],Total Wind Generation [MW],Total Power Output [MW],Wind Power Output [MW],Wind Curtailment [MW],Battery Power Output [MW],Wind Power to Battery [MW],State of Charge [MWh],Wind Power to PEM [MW],PEM H2 Output [kg],Tank H2 Input [kg],H2 Sales [kg],Turbine H2 Input [kg],Tank Holdup [kg],Turbine Power Output [MW],Total Cost [$]
317_WIND,2020-01-01,00:00:00,0,934.266,934.263,934.263,0.0,0.0,0.0,601.439,0.003,0.063,0.063,0.0,0.0,116577.852,0.0,5813.303
317_WIND,2020-01-01,01:00:00,0,917.675,917.671,917.671,0.0,0.0,0.0,601.439,0.003,0.063,0.063,0.0,0.0,116577.915,0.0,5813.304
317_WIND,2020-01-01,02:00:00,0,914.571,914.568,914.568,0.0,0.0,0.0,601.439,0.003,0.063,0.063,0.0,0.0,116577.978,0.0,5813.305
317_WIND,2020-01-01,03:00:00,0,875.42,875.416,875.416,0.0,0.0,0.0,601.439,0.003,0.063,0.063,0.0,0.0,116578.041,0.0,5813.305
317_WIND,2020-01-01,04:00:00,0,913.736,913.732,913.732,0.0,0.0,0.0,601.439,0.003,0.063,0.063,0.0,0.0,116578.104,0.0,5813.306
317_WIND,2020-01-01,05:00:00,0,926.03,926.027,926.027,0.0,0.0,0.0,601.439,0.003,0.063,0.063,0.0,0.0,116578.168,0.0,5813.307
317_WIND,2020-01-01,06:00:00,0,917.675,917.671,917.671,0.0,0.0,0.0,601.439,0.003,0.063,0.063,0.0,0.0,116578.231,0.0,5813.307
317_WIND,2020-01-01,07:00:00,0,937.37,937.366,937.366,0.0,0.0,0.0,601.439,0.003,0.063,0.063,0.0,0.0,116578.294,0.0,5813.308
317_WIND,2020-01-01,08:00:00,0,917.555,917.552,917.552,0.0,0.0,0.0,601.439,0.003,0.063,0.063,0.0,0.0,116578.357,0.0,5813.308
317_WIND,2020-01-01,09:00:00,0,870.764,870.761,870.761,0.0,0.0,0.0,601.439,0.003,0.063,0.063,0.0,0.0,116578.42,0.0,5813.309
317_WIND,2020-01-01,10:00:00,0,786.016,786.012,786.012,0.0,0.0,0.0,601.439,0.003,0.063,0.063,0.0,0.0,116578.483,0.0,5813.31
317_WIND,2020-01-01,11:00:00,0,591.332,591.329,591.329,0.0,0.0,0.0,601.439,0.003,0.056,0.056,0.0,0.0,116578.539,0.0,5813.308
317_WIND,2020-01-01,12:00:00,0,323.359,323.355,323.355,0.0,0.0,0.0,601.439,0.003,0.062,0.062,0.0,0.0,116578.601,0.0,5813.31
317_WIND,2020-01-01,13:00:00,0,63.502,63.502,63.502,0.0,0.0,0.0,601.439,-0.0,0.0,0.0,0.0,0.0,116578.601,0.0,5813.287
317_WIND,2020-01-01,14:00:00,0,56.221,56.221,56.221,0.0,0.0,0.0,601.439,-0.0,0.0,0.0,0.0,0.0,116578.601,0.0,5813.287
317_WIND,2020-01-01,15:00:00,0,113.038,113.038,113.038,0.0,0.0,0.0,601.439,-0.0,0.0,0.0,0.0,0.0,116578.601,0.0,5813.287
317_WIND,2020-01-01,16:00:00,0,179.644,179.64,179.64,0.0,0.0,0.0,601.439,0.003,0.062,0.062,0.0,0.0,116578.664,0.0,5813.311
317_WIND,2020-01-01,17:00:00,0,137.508,137.505,137.505,0.0,0.0,0.0,601.439,0.003,0.062,0.062,0.0,0.0,116578.726,0.0,5813.312
317_WIND,2020-01-01,18:00:00,0,130.824,130.82,130.82,0.0,0.0,0.0,601.439,0.003,0.062,0.062,0.0,0.0,116578.788,0.0,5813.312
317_WIND,2020-01-01,19:00:00,0,255.321,255.317,255.317,0.0,0.0,0.0,601.439,0.003,0.063,0.063,0.0,0.0,116578.851,0.0,5813.313
317_WIND,2020-01-01,20:00:00,0,342.934,342.931,342.931,0.0,0.0,0.0,601.439,0.003,0.063,0.063,0.0,0.0,116578.914,0.0,5813.314
