Generator,Date,Hour,Horizon [hr],Total Wind Generation [MW],Total Power Output [MW],Wind Power Output [MW],Wind Curtailment [MW],Battery Power Output [MW],Wind Power to Battery [MW],State of Charge [MWh],Wind Power to PEM [MW],PEM H2 Output [kg],Tank H2 Input [kg],H2 Sales [kg],Turbine H2 Input [kg],Tank Holdup [kg],Turbine Power Output [MW],Total Cost [$]
317_WIND,2020-01-01,00:00:00,0,786.473,782.7,688.37,147.793,94.33,94.33,160.743,3.773,68.659,68.659,0.0,0.0,91247.147,0.0,0.0
317_WIND,2020-01-01,01:00:00,0,772.573,768.8,674.47,145.102,94.33,94.33,151.061,3.773,68.658,68.658,0.0,0.0,91315.806,0.0,0.0
317_WIND,2020-01-01,02:00:00,0,769.973,766.2,671.87,144.598,94.33,94.33,141.38,3.773,68.658,68.658,0.0,0.0,91384.464,0.0,0.0
317_WIND,2020-01-01,03:00:00,0,737.173,733.4,639.07,138.247,94.33,94.33,131.699,3.773,68.658,68.658,0.0,0.0,91453.123,0.0,0.0
317_WIND,2020-01-01,04:00:00,0,769.273,765.5,671.17,144.463,94.33,94.33,122.018,3.773,68.658,68.658,0.0,0.0,91521.781,0.0,0.0
317_WIND,2020-01-01,05:00:00,0,779.573,775.8,681.47,146.457,94.33,94.33,112.336,3.773,68.658,68.658,0.0,0.0,91590.44,0.0,0.0
317_WIND,2020-01-01,06:00:00,0,772.573,768.8,674.47,145.102,94.33,94.33,102.655,3.773,68.658,68.658,0.0,0.0,91659.098,0.0,0.0
317_WIND,2020-01-01,07:00:00,0,789.073,785.3,690.97,148.297,94.33,94.33,92.974,3.773,68.658,68.658,0.0,0.0,91727.757,0.0,0.0
317_WIND,2020-01-01,08:00:00,0,772.473,768.7,768.7,145.082,0.0,0.0,92.974,3.773,68.658,68.658,0.0,0.0,91796.415,0.0,0.0
317_WIND,2020-01-01,09:00:00,0,733.273,729.5,729.5,137.491,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,91865.074,0.0,0.0
317_WIND,2020-01-01,10:00:00,0,662.273,658.5,658.5,123.742,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,91933.732,0.0,0.078
317_WIND,2020-01-01,11:00:00,0,499.173,495.4,495.4,92.159,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,92002.391,0.0,0.295
317_WIND,2020-01-01,12:00:00,0,274.673,270.9,270.9,48.686,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,92071.049,0.0,0.511
317_WIND,2020-01-01,13:00:00,0,53.2,53.2,53.2,10.302,0.0,0.0,92.974,0.0,0.0,0.0,0.0,0.0,92071.049,0.0,0.0
317_WIND,2020-01-01,14:00:00,0,47.1,47.1,47.1,9.121,0.0,0.0,92.974,0.0,0.0,0.0,0.0,0.0,92071.049,0.0,0.0
317_WIND,2020-01-01,15:00:00,0,98.473,94.7,94.7,14.565,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,92139.708,0.0,0.728
317_WIND,2020-01-01,16:00:00,0,154.273,150.5,150.5,25.371,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,92208.366,0.0,0.945
317_WIND,2020-01-01,17:00:00,0,118.973,115.2,115.2,18.535,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,92277.025,0.0,1.162
317_WIND,2020-01-01,18:00:00,0,113.373,109.6,109.6,17.451,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,92345.683,0.0,1.379
317_WIND,2020-01-01,19:00:00,0,217.673,213.9,213.9,37.648,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,92414.342,0.0,1.595
317_WIND,2020-01-01,20:00:00,0,291.073,287.3,287.3,51.861,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,92483.0,0.0,1.812
317_WIND,2020-01-01,21:00:00,0,389.673,385.9,385.9,70.955,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,92551.659,0.0,2.029
317_WIND,2020-01-01,22:00:00,0,279.373,275.6,275.6,49.596,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,92620.317,0.0,2.246
317_WIND,2020-01-01,23:00:00,0,399.373,395.6,395.6,72.833,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,92688.976,0.0,2.463
317_WIND,2020-01-02,00:00:00,0,498.073,494.3,494.3,91.946,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,92757.634,0.0,2.679
317_WIND,2020-01-02,01:00:00,0,283.973,280.2,280.2,50.486,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,92826.293,0.0,2.896
317_WIND,2020-01-02,02:00:00,0,238.173,234.4,234.4,41.617,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,92894.951,0.0,3.113
317_WIND,2020-01-02,03:00:00,0,179.973,176.2,176.2,30.347,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,92963.61,0.0,3.33
317_WIND,2020-01-02,04:00:00,0,277.773,274.0,274.0,49.286,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,93032.268,0.0,3.547
317_WIND,2020-01-02,05:00:00,0,537.873,534.1,534.1,99.653,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,93100.927,0.0,3.763
317_WIND,2020-01-02,06:00:00,0,636.973,633.2,633.2,118.843,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,93169.585,0.0,3.98
317_WIND,2020-01-02,07:00:00,0,586.673,582.9,582.9,109.103,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,93238.244,0.0,4.197
317_WIND,2020-01-02,08:00:00,0,656.773,653.0,653.0,122.677,0.0,0.0,92.974,3.773,68.659,68.659,0.0,0.0,93306.902,0.0,4.414
