Generator,Date,Hour,Horizon [hr],Total Wind Generation [MW],Total Power Output [MW],Wind Power Output [MW],Wind Curtailment [MW],Battery Power Output [MW],Wind Power to Battery [MW],State of Charge [MWh],Wind Power to PEM [MW],PEM H2 Output [kg],Tank H2 Input [kg],H2 Sales [kg],Turbine H2 Input [kg],Tank Holdup [kg],Turbine Power Output [MW],Total Cost [$]
317_WIND,2020-01-01,00:00:00,0,786.473,782.7,782.7,0.0,0.0,0.0,170.424,3.773,68.659,68.659,0.0,0.0,91247.147,0.0,0.0
317_WIND,2020-01-01,01:00:00,0,772.573,768.8,768.8,0.0,0.0,0.0,170.424,3.773,68.658,68.658,0.0,0.0,91315.806,0.0,0.0
317_WIND,2020-01-01,02:00:00,0,769.973,766.2,766.2,0.0,0.0,0.0,170.424,3.773,68.658,68.658,0.0,0.0,91384.464,0.0,0.0
317_WIND,2020-01-01,03:00:00,0,737.173,733.4,733.4,0.0,0.0,0.0,170.424,3.773,68.658,68.658,0.0,0.0,91453.123,0.0,0.0
317_WIND,2020-01-01,04:00:00,0,769.273,765.5,765.5,0.0,0.0,0.0,170.424,3.773,68.658,68.658,0.0,0.0,91521.781,0.0,0.0
317_WIND,2020-01-01,05:00:00,0,779.573,775.8,775.8,0.0,0.0,0.0,170.424,3.773,68.658,68.658,0.0,0.0,91590.44,0.0,0.0
317_WIND,2020-01-01,06:00:00,0,772.573,768.8,768.8,0.0,0.0,0.0,170.424,3.773,68.658,68.658,0.0,0.0,91659.098,0.0,0.0
317_WIND,2020-01-01,07:00:00,0,789.073,785.3,785.3,0.0,0.0,0.0,170.424,3.773,68.658,68.658,0.0,0.0,91727.757,0.0,0.0
317_WIND,2020-01-01,08:00:00,0,772.473,768.7,768.7,0.0,0.0,0.0,170.424,3.773,68.658,68.658,0.0,0.0,91796.415,0.0,0.0
317_WIND,2020-01-01,09:00:00,0,733.273,729.5,729.5,0.0,0.0,0.0,170.424,3.773,68.659,68.659,0.0,0.0,91865.074,0.0,0.0
317_WIND,2020-01-01,10:00:00,0,662.273,658.5,658.5,0.0,0.0,0.0,170.424,3.773,68.659,68.659,0.0,0.0,91933.732,0.0,0.0
