Date,Hour,Horizon [hr],Power Dispatch [MW],Power Output [MW],Power Underdelivered [MW],Power Overdelivered [MW]
2020-01-01,00:00:00,0,782.7,782.7,0.0,0.0
2020-01-01,01:00:00,0,768.8,768.8,0.0,0.0
2020-01-01,02:00:00,0,766.2,766.2,0.0,0.0
2020-01-01,03:00:00,0,733.4,733.4,0.0,0.0
2020-01-01,04:00:00,0,765.5,765.5,0.0,0.0
2020-01-01,05:00:00,0,775.8,775.8,0.0,0.0
2020-01-01,06:00:00,0,768.8,768.8,0.0,0.0
2020-01-01,07:00:00,0,785.3,785.3,0.0,0.0
2020-01-01,08:00:00,0,768.7,768.7,0.0,0.0
2020-01-01,09:00:00,0,729.5,729.5,0.0,0.0
2020-01-01,10:00:00,0,658.5,658.5,0.0,0.0
2020-01-01,11:00:00,0,495.4,495.4,0.0,0.0
2020-01-01,12:00:00,0,270.9,270.9,0.0,0.0
2020-01-01,13:00:00,0,53.2,53.2,0.0,0.0
2020-01-01,14:00:00,0,47.1,47.1,0.0,0.0
2020-01-01,15:00:00,0,94.7,94.7,0.0,0.0
2020-01-01,16:00:00,0,150.5,150.5,0.0,0.0
2020-01-01,17:00:00,0,115.2,115.2,0.0,0.0
2020-01-01,18:00:00,0,109.6,109.6,0.0,0.0
2020-01-01,19:00:00,0,213.9,213.9,0.0,0.0
2020-01-01,20:00:00,0,287.3,287.3,0.0,0.0
2020-01-01,21:00:00,0,385.9,385.9,0.0,0.0
2020-01-01,22:00:00,0,275.6,275.6,0.0,0.0
2020-01-01,23:00:00,0,395.6,395.6,0.0,0.0
2020-01-02,00:00:00,0,494.3,494.3,0.0,0.0
2020-01-02,01:00:00,0,280.2,280.2,0.0,0.0
2020-01-02,02:00:00,0,234.4,234.4,0.0,0.0
2020-01-02,03:00:00,0,176.2,176.2,0.0,0.0
2020-01-02,04:00:00,0,274.0,274.0,0.0,0.0
2020-01-02,05:00:00,0,534.1,534.1,0.0,0.0
2020-01-02,06:00:00,0,633.2,633.2,0.0,0.0
2020-01-02,07:00:00,0,582.9,582.9,0.0,0.0
2020-01-02,08:00:00,0,653.0,653.0,0.0,0.0
2020-01-02,09:00:00,0,711.7,711.7,0.0,0.0
2020-01-02,10:00:00,0,737.8,737.8,0.0,0.0
2020-01-02,11:00:00,0,626.9,626.9,0.0,0.0
2020-01-02,12:00:00,0,0.0,0.0,0.0,0.0
2020-01-02,13:00:00,0,446.1,446.1,0.0,0.0
2020-01-02,14:00:00,0,591.2,591.2,0.0,0.0
