Generator,Date,Hour,Horizon [hr],Total Wind Generation [MW],Total Power Output [MW],Wind Power Output [MW],Wind Curtailment [MW],Battery Power Output [MW],Wind Power to Battery [MW],State of Charge [MWh],Wind Power to PEM [MW],PEM H2 Output [kg],Tank H2 Input [kg],H2 Sales [kg],Turbine H2 Input [kg],Tank Holdup [kg],Turbine Power Output [MW],Total Cost [$]
317_WIND,2020-01-01,00:00:00,0,786.167,782.7,782.7,0.0,0.0,0.0,665.455,3.467,63.095,63.095,0.0,0.0,121239.308,0.0,0.0
317_WIND,2020-01-01,01:00:00,0,772.267,768.8,768.8,0.0,0.0,0.0,665.455,3.467,63.095,63.095,0.0,0.0,121302.404,0.0,0.0
317_WIND,2020-01-01,02:00:00,0,769.667,766.2,766.2,0.0,0.0,0.0,665.455,3.467,63.095,63.095,0.0,0.0,121365.499,0.0,0.0
317_WIND,2020-01-01,03:00:00,0,736.867,733.4,733.4,0.0,0.0,0.0,665.455,3.467,63.095,63.095,0.0,0.0,121428.595,0.0,0.0
317_WIND,2020-01-01,04:00:00,0,768.967,765.5,765.5,0.0,0.0,0.0,665.455,3.467,63.095,63.095,0.0,0.0,121491.69,0.0,0.0
317_WIND,2020-01-01,05:00:00,0,779.267,775.8,775.8,0.0,0.0,0.0,665.455,3.467,63.095,63.095,0.0,0.0,121554.786,0.0,0.0
317_WIND,2020-01-01,06:00:00,0,772.267,768.8,768.8,0.0,0.0,0.0,665.455,3.467,63.095,63.095,0.0,0.0,121617.881,0.0,0.0
317_WIND,2020-01-01,07:00:00,0,788.767,785.3,785.3,0.0,0.0,0.0,665.455,3.467,63.095,63.095,0.0,0.0,121680.976,0.0,0.0
317_WIND,2020-01-01,08:00:00,0,772.167,768.7,768.7,0.0,0.0,0.0,665.455,3.467,63.095,63.095,0.0,0.0,121744.072,0.0,0.0
317_WIND,2020-01-01,09:00:00,0,732.967,729.5,729.5,0.0,0.0,0.0,665.455,3.467,63.095,63.095,0.0,0.0,121807.167,0.0,0.0
317_WIND,2020-01-01,10:00:00,0,661.967,658.5,658.5,0.0,0.0,0.0,665.455,3.467,63.095,63.095,0.0,0.0,121870.263,0.0,0.0
