,Total Wind Generation [MW],Total Power Output [MW],Wind Power Output [MW],Wind Power to Battery [MW],State of Charge [MWh],Battery Power Output [MW],Wind Power to PEM [MW],PEM H2 Output [kg],Tank H2 Input [kg],H2 Sales [kg],"Turbine H2 Input [kg]""",Tank Holdup [kg],Turbine Power Output [MW]
0,880.803,782.7,782.7,94.33,260.0372894736842,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,91247.14707625327,0.0
1,866.903,768.8000000000001,768.8000000000001,94.33,349.65078947368414,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,91315.80557668686,0.0
2,769.9730000000001,766.2,766.2,0.0,349.65078947368414,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,91384.46407712046,0.0
3,737.173,733.4,733.4,0.0,349.65078947368414,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,91453.12257755405,0.0
4,769.273,765.5,765.5,0.0,349.65078947368414,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,91521.78107798765,0.0
5,873.903,775.8000000000001,775.8000000000001,94.33,439.2642894736842,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,91590.43957842124,0.0
6,866.903,768.8000000000001,768.8000000000001,94.33,528.8777894736842,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,91659.09807885483,0.0
7,883.403,785.3000000000001,785.3000000000001,94.33,618.4912894736842,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,91727.75657928843,0.0
8,866.3048836565098,768.7,768.7,93.83188365650976,707.6315789473684,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,91796.41507972202,0.0
9,733.273,729.5,729.5,0.0,707.6315789473684,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,91865.07358015561,0.0
10,662.273,658.5,658.5,0.0,707.6315789473684,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,91933.73208058921,0.0
11,499.173,495.40000000000003,495.40000000000003,0.0,707.6315789473684,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,92002.3905810228,0.0
12,274.673,270.9,270.9,0.0,707.6315789473684,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,92071.0490814564,0.0
13,0.0,53.2,0.0,0.0,651.6315789473684,53.2,0.0,0.0,0.0,0.0,0.0,92071.0490814564,0.0
14,0.0,47.1,0.0,0.0,602.0526315789474,47.1,0.0,0.0,0.0,0.0,0.0,92071.0490814564,0.0
15,4.143,94.7,0.37,0.0,502.75789473684216,94.33,3.773,68.6585004336,68.6585004336,0.0,0.0,92139.70758188999,0.0
16,59.943,150.5,56.17,0.0,403.46315789473687,94.33,3.773,68.6585004336,68.6585004336,0.0,0.0,92208.36608232358,0.0
17,24.643,115.2,20.87,0.0,304.1684210526316,94.33,3.773,68.6585004336,68.6585004336,0.0,0.0,92277.02458275718,0.0
18,19.043,109.60000000000001,15.27,0.0,204.87368421052633,94.33,3.773,68.6585004336,68.6585004336,0.0,0.0,92345.68308319077,0.0
19,217.673,213.9,213.9,0.0,204.87368421052633,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,92414.34158362437,0.0
20,291.073,287.3,287.3,0.0,204.87368421052633,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,92483.00008405796,0.0
21,389.673,385.90000000000003,385.90000000000003,0.0,204.87368421052633,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,92551.65858449155,0.0
22,279.373,275.6,275.6,0.0,204.87368421052633,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,92620.31708492515,0.0
23,399.373,395.6,395.6,0.0,204.87368421052633,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,92688.97558535874,0.0
24,498.07300000000004,494.3,494.3,0.0,204.87368421052633,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,92757.63408579234,0.0
25,283.973,280.2,280.2,0.0,204.87368421052633,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,92826.29258622593,0.0
26,238.173,234.4,234.4,0.0,204.87368421052633,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,92894.95108665952,0.0
27,85.643,176.20000000000002,81.87,0.0,105.57894736842107,94.33,3.773,68.6585004336,68.6585004336,0.0,0.0,92963.60958709312,0.0
28,277.773,274.0,274.0,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,93032.26808752671,0.0
29,537.873,534.1,534.1,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,93100.9265879603,0.0
30,636.9730000000001,633.2,633.2,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,93169.5850883939,0.0
31,586.673,582.9,582.9,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,93238.24358882749,0.0
32,656.773,653.0,653.0,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,93306.90208926109,0.0
33,715.4730000000001,711.7,711.7,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,93375.56058969468,0.0
34,741.573,737.8000000000001,737.8000000000001,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,93444.21909012827,0.0
35,630.673,626.9,626.9,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,93512.87759056187,0.0
36,3.773,0.0,0.0,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,93581.53609099546,0.0
37,449.873,446.1,446.1,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,93650.19459142906,0.0
38,594.973,591.2,591.2,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,93718.85309186265,0.0
39,613.573,609.8000000000001,609.8000000000001,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,93787.51159229624,0.0
40,574.173,570.4,570.4,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,93856.17009272984,0.0
41,613.273,609.5,609.5,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,93924.82859316343,0.0
42,713.673,709.9,709.9,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,93993.48709359702,0.0
43,713.073,709.3000000000001,709.3000000000001,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,94062.14559403062,0.0
44,706.673,702.9,702.9,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,94130.80409446421,0.0
45,728.373,724.6,724.6,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,94199.4625948978,0.0
46,749.4730000000001,745.7,745.7,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,94268.1210953314,0.0
47,698.873,695.1,695.1,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,94336.779595765,0.0
48,704.573,700.8000000000001,700.8000000000001,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,94405.43809619859,0.0
49,691.373,687.6,687.6,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,94474.09659663218,0.0
50,607.573,603.8000000000001,603.8000000000001,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,94542.75509706578,0.0
51,661.273,657.5,657.5,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,94611.41359749937,0.0
52,599.273,595.5,595.5,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,94680.07209793296,0.0
53,674.173,670.4,670.4,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,94748.73059836656,0.0
54,549.573,545.8,545.8,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,94817.38909880015,0.0
55,612.273,608.5,608.5,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,94886.04759923375,0.0
56,521.773,518.0,518.0,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,94954.70609966734,0.0
57,556.073,552.3000000000001,552.3000000000001,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,95023.36460010093,0.0
58,529.073,525.3,525.3,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,95092.02310053453,0.0
59,426.973,423.2,423.2,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,95160.68160096812,0.0
60,292.973,289.2,289.2,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,95229.34010140171,0.0
61,280.973,277.2,277.2,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,95297.99860183531,0.0
62,280.773,277.0,277.0,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,95366.6571022689,0.0
63,264.073,260.3,260.3,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,95435.3156027025,0.0
64,413.273,409.5,409.5,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,95503.97410313609,0.0
65,567.773,564.0,564.0,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,95572.63260356968,0.0
66,584.773,581.0,581.0,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,95641.29110400328,0.0
67,383.07300000000004,379.3,379.3,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,95709.94960443687,0.0
68,359.273,355.5,355.5,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,95778.60810487047,0.0
69,280.173,276.40000000000003,276.40000000000003,0.0,105.57894736842107,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,95847.26660530406,0.0
70,0.0,31.400000000000002,0.0,0.0,72.5263157894737,31.400000000000002,0.0,0.0,0.0,0.0,0.0,95847.26660530406,0.0
71,0.0,6.9,0.0,0.0,65.26315789473685,6.9,0.0,0.0,0.0,0.0,0.0,95847.26660530406,0.0
72,0.0,5.3,0.0,0.0,59.684210526315795,5.3,0.0,0.0,0.0,0.0,0.0,95847.26660530406,0.0
73,0.0,4.4,0.0,0.0,55.05263157894738,4.4,0.0,0.0,0.0,0.0,0.0,95847.26660530406,0.0
74,0.0,6.2,0.0,0.0,48.526315789473685,6.2,0.0,0.0,0.0,0.0,0.0,95847.26660530406,0.0
75,0.0,4.5,0.0,0.0,43.78947368421053,4.5,0.0,0.0,0.0,0.0,0.0,95847.26660530406,0.0
76,0.0,6.6000000000000005,0.0,0.0,36.8421052631579,6.6000000000000005,0.0,0.0,0.0,0.0,0.0,95847.26660530406,0.0
77,0.0,6.1000000000000005,0.0,0.0,30.42105263157895,6.1000000000000005,0.0,0.0,0.0,0.0,0.0,95847.26660530406,0.0
78,0.0,7.3,0.0,0.0,22.736842105263158,7.3,0.0,0.0,0.0,0.0,0.0,95847.26660530406,0.0
79,0.0,6.5,0.0,0.0,15.894736842105264,6.5,0.0,0.0,0.0,0.0,0.0,95847.26660530406,0.0
80,0.0,4.3,0.0,0.0,11.368421052631579,4.3,0.0,0.0,0.0,0.0,0.0,95847.26660530406,0.0
81,0.0,10.8,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,95847.26660530406,0.0
82,193.273,189.5,189.5,0.0,0.0,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,95915.92510573765,0.0
83,3.773,0.0,0.0,0.0,0.0,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,95984.58360617125,0.0
84,3.773,0.0,0.0,0.0,0.0,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,96053.24210660484,0.0
85,3.773,0.0,0.0,0.0,0.0,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,96121.90060703843,0.0
86,3.7730000000000006,0.0,0.0,0.0,0.0,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,96190.55910747203,0.0
87,3.7730000000000006,0.0,0.0,0.0,0.0,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,96259.21760790562,0.0
88,481.973,478.2,478.2,0.0,0.0,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,96327.87610833922,0.0
89,544.173,540.4,540.4,0.0,0.0,0.0,3.773,68.6585004336,68.6585004336,0.0,0.0,96396.53460877281,0.0
