Generator,Date,Hour,Horizon [hr],Total Wind Generation [MW],Total Power Output [MW],Wind Power Output [MW],Wind Curtailment [MW],Battery Power Output [MW],Wind Power to Battery [MW],State of Charge [MWh],Wind Power to PEM [MW],PEM H2 Output [kg],Tank H2 Input [kg],H2 Sales [kg],Turbine H2 Input [kg],Tank Holdup [kg],Turbine Power Output [MW],Total Cost [$]
317_WIND,2020-06-27,17:00:00,0,13.13,66.0,13.13,0.0,52.87,0.0,697.94,-0.0,0.0,0.0,0.0,0.0,227730.582,0.0,7252.428
317_WIND,2020-06-27,18:00:00,0,10.504,74.8,10.504,0.0,64.296,0.0,630.26,-0.0,0.0,0.0,0.0,0.0,227730.582,0.0,7252.428
317_WIND,2020-06-27,19:00:00,0,10.146,74.5,10.146,0.0,64.354,0.0,562.519,-0.0,0.0,0.0,0.0,0.0,227730.582,0.0,7252.428
317_WIND,2020-06-27,20:00:00,0,29.125,24.636,24.636,0.0,0.0,4.489,566.784,-0.0,0.0,0.0,0.0,0.0,227730.582,0.0,7252.428
317_WIND,2020-06-27,21:00:00,0,12.891,10.905,10.905,0.0,0.0,1.987,568.671,-0.0,0.0,0.0,0.0,0.0,227730.582,0.0,7252.428
317_WIND,2020-06-27,22:00:00,0,13.369,11.308,11.308,0.0,0.0,2.06,570.628,-0.0,0.0,0.0,0.0,0.0,227730.582,0.0,7252.428
317_WIND,2020-06-27,23:00:00,0,21.605,18.275,18.275,0.0,0.0,3.33,573.792,-0.0,0.0,0.0,0.0,0.0,227730.582,0.0,7252.428
317_WIND,2020-06-28,00:00:00,0,36.645,30.997,30.997,0.0,0.0,5.648,579.157,-0.0,0.0,0.0,0.0,0.0,227730.582,0.0,7252.428
317_WIND,2020-06-28,01:00:00,0,38.316,32.411,32.411,0.0,0.0,5.905,584.767,-0.0,0.0,0.0,0.0,0.0,227730.582,0.0,7252.428
317_WIND,2020-06-28,02:00:00,0,40.345,34.127,34.127,0.0,0.0,6.218,590.674,-0.0,0.0,0.0,0.0,0.0,227730.582,0.0,7252.428
317_WIND,2020-06-28,03:00:00,0,20.531,17.367,17.367,0.0,0.0,3.164,593.68,-0.0,0.0,0.0,0.0,0.0,227730.582,0.0,7252.428
