Date,Hour,Horizon [hr],Power Dispatch [MW],Power Output [MW],Power Underdelivered [MW],Power Overdelivered [MW]
2020-07-23,16:00:00,0,74.1,15.87,58.23,0.0
2020-07-23,17:00:00,0,78.2,14.56,63.64,0.0
2020-07-23,18:00:00,0,71.2,6.21,64.99,0.0
2020-07-23,19:00:00,0,81.0,7.4,73.6,0.0
2020-07-23,20:00:00,0,72.6,7.88,64.72,0.0
2020-07-23,21:00:00,0,6.0,6.06,0.0,0.06
2020-07-23,22:00:00,0,6.0,6.06,0.0,0.06
2020-07-23,23:00:00,0,9.4,9.49,0.0,0.09
2020-07-24,00:00:00,0,22.7,22.92,0.0,0.22
2020-07-24,01:00:00,0,34.7,35.04,0.0,0.34
2020-07-24,02:00:00,0,41.3,41.7,0.0,0.4
2020-07-24,03:00:00,0,37.8,38.17,0.0,0.37
2020-07-24,04:00:00,0,7.1,7.17,0.0,0.07
2020-07-24,05:00:00,0,4.9,4.95,0.0,0.05
2020-07-24,06:00:00,0,5.2,5.25,0.0,0.05
2020-07-24,07:00:00,0,3.3,3.33,0.0,0.03
2020-07-24,08:00:00,0,4.3,4.34,0.0,0.04
2020-07-24,09:00:00,0,5.3,5.35,0.0,0.05
2020-07-24,10:00:00,0,4.8,4.85,0.0,0.05
2020-07-24,11:00:00,0,5.9,5.96,0.0,0.06
2020-07-24,12:00:00,0,27.8,27.8,-0.0,0.0
2020-07-24,13:00:00,0,61.9,20.35,41.55,0.0
2020-07-24,14:00:00,0,73.0,8.36,64.64,0.0
2020-07-24,15:00:00,0,73.7,9.19,64.51,0.0
2020-07-24,16:00:00,0,73.1,8.47,64.63,0.0
2020-07-24,17:00:00,0,78.7,15.16,63.54,0.0
2020-07-24,18:00:00,0,94.9,8.24,86.66,0.0
2020-07-24,19:00:00,0,106.6,22.2,84.4,0.0
2020-07-24,20:00:00,0,118.17,51.33,66.84,0.0
2020-07-24,21:00:00,0,118.2,36.05,82.15,0.0
2020-07-24,22:00:00,0,39.0,39.38,0.0,0.38
2020-07-24,23:00:00,0,14.5,14.64,0.0,0.14
2020-07-25,00:00:00,0,4.2,4.24,0.0,0.04
2020-07-25,01:00:00,0,5.6,5.65,0.0,0.05
2020-07-25,02:00:00,0,5.3,5.35,0.0,0.05
2020-07-25,03:00:00,0,6.2,6.26,0.0,0.06
2020-07-25,04:00:00,0,5.5,5.55,0.0,0.05
2020-07-25,05:00:00,0,5.7,5.76,0.0,0.06
2020-07-25,06:00:00,0,4.1,4.14,0.0,0.04
2020-07-25,07:00:00,0,6.0,6.06,0.0,0.06
2020-07-25,08:00:00,0,7.7,7.77,0.0,0.07
2020-07-25,09:00:00,0,5.0,5.05,0.0,0.05
2020-07-25,10:00:00,0,8.8,8.89,0.0,0.09
2020-07-25,11:00:00,0,5.5,5.55,0.0,0.05
2020-07-25,12:00:00,0,6.0,6.06,0.0,0.06
2020-07-25,13:00:00,0,6.7,6.76,0.0,0.06
2020-07-25,14:00:00,0,49.9,29.59,20.31,0.0
2020-07-25,15:00:00,0,70.8,5.73,65.07,0.0
2020-07-25,16:00:00,0,93.6,6.68,86.92,0.0
2020-07-25,17:00:00,0,95.7,9.19,86.51,0.0
2020-07-25,18:00:00,0,93.0,5.97,87.03,0.0
2020-07-25,19:00:00,0,95.7,9.19,86.51,0.0
2020-07-25,20:00:00,0,92.9,5.85,87.05,0.0
2020-07-25,21:00:00,0,92.7,5.61,87.09,0.0
2020-07-25,22:00:00,0,37.3,5.13,32.17,0.0
2020-07-25,23:00:00,0,6.6,6.66,0.0,0.06
2020-07-26,00:00:00,0,7.5,7.57,0.0,0.07
2020-07-26,01:00:00,0,4.1,4.14,0.0,0.04
2020-07-26,02:00:00,0,6.8,6.87,0.0,0.07
2020-07-26,03:00:00,0,5.7,5.76,0.0,0.06
2020-07-26,04:00:00,0,5.5,5.55,0.0,0.05
2020-07-26,05:00:00,0,5.1,5.15,0.0,0.05
2020-07-26,06:00:00,0,13.4,13.53,0.0,0.13
2020-07-26,07:00:00,0,5.4,5.45,0.0,0.05
2020-07-26,08:00:00,0,6.7,6.76,0.0,0.06
2020-07-26,09:00:00,0,4.6,4.64,0.0,0.04
2020-07-26,10:00:00,0,5.5,5.55,0.0,0.05
2020-07-26,11:00:00,0,4.7,4.75,0.0,0.05
2020-07-26,12:00:00,0,4.6,4.64,0.0,0.04
2020-07-26,13:00:00,0,92.8,93.7,0.0,0.9
2020-07-26,14:00:00,0,48.4,34.97,13.43,0.0
2020-07-26,15:00:00,0,70.4,5.25,65.15,0.0
2020-07-26,16:00:00,0,72.8,8.12,64.68,0.0
2020-07-26,17:00:00,0,72.5,7.76,64.74,0.0
2020-07-26,18:00:00,0,95.3,8.71,86.59,0.0
2020-07-26,19:00:00,0,92.1,4.89,87.21,0.0
2020-07-26,20:00:00,0,92.9,5.85,87.05,0.0
2020-07-26,21:00:00,0,94.4,7.64,86.76,0.0
2020-07-26,22:00:00,0,6.6,6.66,0.0,0.06
2020-07-26,23:00:00,0,5.5,5.55,0.0,0.05
2020-07-27,00:00:00,0,7.4,7.47,0.0,0.07
2020-07-27,01:00:00,0,10.8,10.9,0.0,0.1
2020-07-27,02:00:00,0,12.7,12.82,0.0,0.12
2020-07-27,03:00:00,0,7.2,7.27,0.0,0.07
2020-07-27,04:00:00,0,6.8,6.87,0.0,0.07
2020-07-27,05:00:00,0,9.7,9.79,0.0,0.09
2020-07-27,06:00:00,0,68.5,69.16,0.0,0.66
2020-07-27,07:00:00,0,154.2,155.69,0.0,1.49
2020-07-27,08:00:00,0,72.4,73.1,0.0,0.7
2020-07-27,09:00:00,0,35.0,35.34,0.0,0.34
2020-07-27,10:00:00,0,12.9,13.02,0.0,0.12
2020-07-27,11:00:00,0,11.4,11.51,0.0,0.11
2020-07-27,12:00:00,0,52.2,52.2,0.0,0.0
2020-07-27,13:00:00,0,80.7,45.05,35.65,0.0
2020-07-27,14:00:00,0,88.0,26.26,61.74,0.0
2020-07-27,15:00:00,0,106.7,48.58,58.12,0.0
2020-07-27,16:00:00,0,124.1,69.35,54.75,0.0
2020-07-27,17:00:00,0,126.7,72.45,54.25,0.0
2020-07-27,18:00:00,0,110.7,53.36,57.34,0.0
