Generator,Date,Hour,Horizon [hr],Total Wind Generation [MW],Total Power Output [MW],Wind Power Output [MW],Wind Curtailment [MW],Battery Power Output [MW],Wind Power to Battery [MW],State of Charge [MWh],Wind Power to PEM [MW],PEM H2 Output [kg],Tank H2 Input [kg],H2 Sales [kg],Turbine H2 Input [kg],Tank Holdup [kg],Turbine Power Output [MW],Total Cost [$]
317_WIND,2020-07-23,16:00:00,0,9.669,15.873,9.669,0.0,6.204,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.1,0.0,7252.428
317_WIND,2020-07-23,17:00:00,0,14.562,14.562,14.562,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.1,0.0,7252.428
317_WIND,2020-07-23,18:00:00,0,6.207,6.207,6.207,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.1,0.0,7252.428
317_WIND,2020-07-23,19:00:00,0,7.401,7.401,7.401,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.1,0.0,7252.428
317_WIND,2020-07-23,20:00:00,0,7.878,7.878,7.878,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.1,0.0,7252.428
317_WIND,2020-07-23,21:00:00,0,7.162,6.058,6.058,0.0,0.0,1.104,1.049,-0.0,0.0,0.0,0.0,0.0,0.1,0.0,7252.428
317_WIND,2020-07-23,22:00:00,0,7.162,6.058,6.058,0.0,0.0,1.104,2.097,-0.0,0.0,0.0,0.0,0.0,0.1,0.0,7252.428
317_WIND,2020-07-23,23:00:00,0,11.22,9.491,9.491,0.0,0.0,1.729,3.74,-0.0,0.0,0.0,0.0,0.0,0.1,0.0,7252.428
317_WIND,2020-07-24,00:00:00,0,27.096,22.92,22.92,0.0,0.0,4.176,7.707,-0.0,0.0,0.0,0.0,0.0,0.1,0.0,7252.428
317_WIND,2020-07-24,01:00:00,0,41.419,35.036,35.036,0.0,0.0,6.384,13.771,-0.0,0.0,0.0,0.0,0.0,0.1,0.0,7252.428
317_WIND,2020-07-24,02:00:00,0,49.298,41.7,41.7,0.0,0.0,7.598,20.989,-0.0,0.0,0.0,0.0,0.0,0.1,0.0,7252.428
317_WIND,2020-07-24,03:00:00,0,45.12,38.166,38.166,0.0,0.0,6.954,27.595,-0.0,0.0,0.0,0.0,0.0,0.1,0.0,7252.428
317_WIND,2020-07-24,04:00:00,0,8.475,7.169,7.169,0.0,0.0,1.306,28.836,-0.0,0.0,0.0,0.0,0.0,0.1,0.0,7252.428
317_WIND,2020-07-24,05:00:00,0,5.849,4.947,4.947,0.0,0.0,0.901,29.693,-0.0,0.0,0.0,0.0,0.0,0.1,0.0,7252.428
317_WIND,2020-07-24,06:00:00,0,6.207,5.25,5.25,0.0,0.0,0.957,30.601,-0.0,0.0,0.0,0.0,0.0,0.1,0.0,7252.428
